#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 500.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  4.57006e+00  3.953e-01  4.175e+00  0.000e+00 -7.066e-02  4.659e-01  1.703e+00  1.667e+00  8.046e-01  0.000e+00
      4  1.03443e+01  4.089e-01  9.935e+00  0.000e+00 -6.334e-02  4.723e-01  3.885e+00  5.038e+00  1.013e+00  0.000e+00
      8  1.09040e+01  4.298e-01  1.047e+01  0.000e+00 -4.695e-02  4.767e-01  5.791e+00  3.711e+00  9.727e-01  0.000e+00
     12  1.03137e+01  4.168e-01  9.897e+00  0.000e+00 -5.711e-02  4.739e-01  3.049e+00  5.843e+00  1.005e+00  0.000e+00
     16  1.36705e+01  4.211e-01  1.325e+01  0.000e+00 -5.414e-02  4.753e-01  7.396e+00  4.918e+00  9.356e-01  0.000e+00
     20  1.32214e+01  4.223e-01  1.280e+01  0.000e+00 -5.134e-02  4.736e-01  5.092e+00  6.744e+00  9.626e-01  0.000e+00
     24  9.88427e+00  4.221e-01  9.462e+00  0.000e+00 -5.216e-02  4.743e-01  3.404e+00  5.224e+00  8.343e-01  0.000e+00
     28  1.03970e+01  4.210e-01  9.976e+00  0.000e+00 -5.279e-02  4.738e-01  3.202e+00  5.917e+00  8.571e-01  0.000e+00
     32  8.48055e+00  4.159e-01  8.065e+00  0.000e+00 -5.531e-02  4.712e-01  2.006e+00  5.262e+00  7.974e-01  0.000e+00
     36  7.45136e+00  4.087e-01  7.043e+00  0.000e+00 -6.023e-02  4.689e-01  1.927e+00  4.359e+00  7.563e-01  0.000e+00
     40  1.07206e+01  4.011e-01  1.032e+01  0.000e+00 -6.649e-02  4.675e-01  2.665e+00  6.985e+00  6.700e-01  0.000e+00
     44  1.52358e+01  3.968e-01  1.484e+01  0.000e+00 -6.856e-02  4.654e-01  6.779e+00  7.255e+00  8.045e-01  0.000e+00
     48  1.62115e+01  3.914e-01  1.582e+01  0.000e+00 -7.156e-02  4.629e-01  7.658e+00  7.276e+00  8.861e-01  0.000e+00
     52  1.63022e+01  3.859e-01  1.592e+01  0.000e+00 -7.351e-02  4.594e-01  8.976e+00  6.096e+00  8.444e-01  0.000e+00
     56  1.50998e+01  3.975e-01  1.470e+01  0.000e+00 -6.774e-02  4.652e-01  8.508e+00  5.384e+00  8.101e-01  0.000e+00
     60  1.32014e+01  3.960e-01  1.281e+01  0.000e+00 -6.973e-02  4.658e-01  6.754e+00  5.299e+00  7.523e-01  0.000e+00
     64  1.10995e+01  3.945e-01  1.071e+01  0.000e+00 -7.097e-02  4.654e-01  3.169e+00  6.743e+00  7.928e-01  0.000e+00
     68  1.47682e+01  3.959e-01  1.437e+01  0.000e+00 -6.972e-02  4.656e-01  5.913e+00  7.615e+00  8.445e-01  0.000e+00
     72  1.66663e+01  3.914e-01  1.627e+01  0.000e+00 -7.332e-02  4.647e-01  8.429e+00  6.962e+00  8.836e-01  0.000e+00
     76  1.20001e+01  3.981e-01  1.160e+01  0.000e+00 -6.961e-02  4.677e-01  4.489e+00  6.295e+00  8.176e-01  0.000e+00
     80  1.12693e+01  3.945e-01  1.087e+01  0.000e+00 -7.301e-02  4.676e-01  2.300e+00  7.709e+00  8.658e-01  0.000e+00
     84  1.35911e+01  3.931e-01  1.320e+01  0.000e+00 -7.339e-02  4.665e-01  5.244e+00  7.118e+00  8.353e-01  0.000e+00
     88  1.16543e+01  3.826e-01  1.127e+01  0.000e+00 -7.952e-02  4.621e-01  4.760e+00  5.573e+00  9.385e-01  0.000e+00
     92  1.34700e+01  3.755e-01  1.309e+01  0.000e+00 -8.047e-02  4.560e-01  3.414e+00  8.779e+00  9.018e-01  0.000e+00
     96  1.37875e+01  3.788e-01  1.341e+01  0.000e+00 -7.828e-02  4.571e-01  3.376e+00  9.213e+00  8.199e-01  0.000e+00
    100  1.57517e+01  3.807e-01  1.537e+01  0.000e+00 -7.575e-02  4.565e-01  3.506e+00  1.102e+01  8.448e-01  0.000e+00
    104  1.33509e+01  3.864e-01  1.296e+01  0.000e+00 -7.472e-02  4.611e-01  2.802e+00  9.235e+00  9.281e-01  0.000e+00
    108  1.57332e+01  3.917e-01  1.534e+01  0.000e+00 -7.284e-02  4.645e-01  3.993e+00  1.040e+01  9.493e-01  0.000e+00
    112  1.63091e+01  3.946e-01  1.591e+01  0.000e+00 -7.029e-02  4.649e-01  6.799e+00  8.126e+00  9.894e-01  0.000e+00
    116  1.69269e+01  3.914e-01  1.654e+01  0.000e+00 -7.340e-02  4.648e-01  8.807e+00  6.812e+00  9.162e-01  0.000e+00
    120  1.62665e+01  3.935e-01  1.587e+01  0.000e+00 -7.237e-02  4.658e-01  8.877e+00  6.189e+00  8.074e-01  0.000e+00
    124  1.81748e+01  3.943e-01  1.778e+01  0.000e+00 -7.246e-02  4.667e-01  7.897e+00  9.023e+00  8.607e-01  0.000e+00
    128  1.74281e+01  3.854e-01  1.704e+01  0.000e+00 -7.828e-02  4.636e-01  8.165e+00  7.994e+00  8.829e-01  0.000e+00
    132  1.37834e+01  3.955e-01  1.339e+01  0.000e+00 -7.174e-02  4.673e-01  4.559e+00  8.052e+00  7.773e-01  0.000e+00
    136  1.51786e+01  3.995e-01  1.478e+01  0.000e+00 -6.904e-02  4.686e-01  4.640e+00  9.357e+00  7.815e-01  0.000e+00
    140  1.58104e+01  4.117e-01  1.540e+01  0.000e+00 -5.776e-02  4.694e-01  5.415e+00  9.139e+00  8.449e-01  0.000e+00
    144  1.45704e+01  4.153e-01  1.416e+01  0.000e+00 -5.509e-02  4.704e-01  2.746e+00  1.052e+01  8.848e-01  0.000e+00
    148  1.61879e+01  4.111e-01  1.578e+01  0.000e+00 -5.725e-02  4.683e-01  3.060e+00  1.174e+01  9.754e-01  0.000e+00
    152  1.54359e+01  4.068e-01  1.503e+01  0.000e+00 -6.134e-02  4.682e-01  2.663e+00  1.130e+01  1.063e+00  0.000e+00
    156  1.71797e+01  4.185e-01  1.676e+01  0.000e+00 -5.111e-02  4.696e-01  3.616e+00  1.213e+01  1.017e+00  0.000e+00
    160  1.95603e+01  4.157e-01  1.914e+01  0.000e+00 -5.474e-02  4.704e-01  5.600e+00  1.246e+01  1.085e+00  0.000e+00
    164  1.99803e+01  4.256e-01  1.955e+01  0.000e+00 -4.451e-02  4.701e-01  6.667e+00  1.184e+01  1.044e+00  0.000e+00
    168  1.76436e+01  4.221e-01  1.722e+01  0.000e+00 -4.920e-02  4.713e-01  4.413e+00  1.166e+01  1.149e+00  0.000e+00
    172  1.89615e+01  4.211e-01  1.854e+01  0.000e+00 -5.197e-02  4.731e-01  4.674e+00  1.278e+01  1.082e+00  0.000e+00
    176  1.92661e+01  4.194e-01  1.885e+01  0.000e+00 -5.336e-02  4.728e-01  3.541e+00  1.415e+01  1.155e+00  0.000e+00
