#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane_lowT.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 150.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  4.57006e+00  3.953e-01  4.175e+00  0.000e+00 -7.066e-02  4.659e-01  1.703e+00  1.667e+00  8.046e-01  0.000e+00
      4  4.72475e+00  3.970e-01  4.328e+00  0.000e+00 -6.973e-02  4.667e-01  2.282e+00  1.199e+00  8.464e-01  0.000e+00
      8  4.09990e+00  4.022e-01  3.698e+00  0.000e+00 -6.692e-02  4.691e-01  1.157e+00  1.595e+00  9.452e-01  0.000e+00
     12  3.92353e+00  3.897e-01  3.534e+00  0.000e+00 -7.437e-02  4.641e-01  1.142e+00  1.464e+00  9.278e-01  0.000e+00
     16  4.16575e+00  3.900e-01  3.776e+00  0.000e+00 -7.431e-02  4.643e-01  7.621e-01  2.050e+00  9.637e-01  0.000e+00
     20  4.37134e+00  3.944e-01  3.977e+00  0.000e+00 -7.108e-02  4.655e-01  9.687e-01  1.993e+00  1.015e+00  0.000e+00
     24  4.68177e+00  3.908e-01  4.291e+00  0.000e+00 -7.273e-02  4.636e-01  1.141e+00  2.115e+00  1.035e+00  0.000e+00
     28  4.75251e+00  3.961e-01  4.356e+00  0.000e+00 -7.074e-02  4.669e-01  1.455e+00  1.902e+00  9.987e-01  0.000e+00
     32  4.27442e+00  3.946e-01  3.880e+00  0.000e+00 -7.186e-02  4.664e-01  9.471e-01  1.978e+00  9.547e-01  0.000e+00
     36  5.23707e+00  3.945e-01  4.843e+00  0.000e+00 -7.127e-02  4.657e-01  2.006e+00  1.839e+00  9.971e-01  0.000e+00
     40  5.29622e+00  3.964e-01  4.900e+00  0.000e+00 -6.963e-02  4.660e-01  1.774e+00  2.147e+00  9.790e-01  0.000e+00
     44  5.00015e+00  3.989e-01  4.601e+00  0.000e+00 -6.917e-02  4.681e-01  1.658e+00  1.931e+00  1.012e+00  0.000e+00
     48  4.80833e+00  3.926e-01  4.416e+00  0.000e+00 -7.245e-02  4.650e-01  1.435e+00  2.000e+00  9.806e-01  0.000e+00
     52  4.55882e+00  3.909e-01  4.168e+00  0.000e+00 -7.395e-02  4.649e-01  1.322e+00  1.895e+00  9.513e-01  0.000e+00
     56  4.32710e+00  3.897e-01  3.937e+00  0.000e+00 -7.308e-02  4.628e-01  4.763e-01  2.529e+00  9.317e-01  0.000e+00
     60  4.80952e+00  3.919e-01  4.418e+00  0.000e+00 -7.112e-02  4.630e-01  1.625e+00  1.920e+00  8.720e-01  0.000e+00
     64  4.53167e+00  3.951e-01  4.137e+00  0.000e+00 -7.028e-02  4.654e-01  1.105e+00  2.100e+00  9.314e-01  0.000e+00
     68  6.19252e+00  3.954e-01  5.797e+00  0.000e+00 -7.047e-02  4.658e-01  2.425e+00  2.469e+00  9.032e-01  0.000e+00
     72  5.70833e+00  3.957e-01  5.313e+00  0.000e+00 -6.993e-02  4.657e-01  1.703e+00  2.602e+00  1.008e+00  0.000e+00
     76  5.90424e+00  3.956e-01  5.509e+00  0.000e+00 -7.087e-02  4.665e-01  1.891e+00  2.620e+00  9.978e-01  0.000e+00
     80  6.42607e+00  3.992e-01  6.027e+00  0.000e+00 -6.939e-02  4.686e-01  2.520e+00  2.547e+00  9.605e-01  0.000e+00
     84  5.13576e+00  4.047e-01  4.731e+00  0.000e+00 -6.547e-02  4.702e-01  2.024e+00  1.696e+00  1.011e+00  0.000e+00
     88  6.08231e+00  4.008e-01  5.682e+00  0.000e+00 -6.807e-02  4.689e-01  2.328e+00  2.366e+00  9.876e-01  0.000e+00
     92  4.27448e+00  4.086e-01  3.866e+00  0.000e+00 -6.246e-02  4.710e-01  1.005e+00  1.961e+00  9.001e-01  0.000e+00
     96  4.89789e+00  4.111e-01  4.487e+00  0.000e+00 -6.160e-02  4.727e-01  1.153e+00  2.476e+00  8.584e-01  0.000e+00
    100  4.88222e+00  4.084e-01  4.474e+00  0.000e+00 -6.222e-02  4.706e-01  9.956e-01  2.572e+00  9.066e-01  0.000e+00
    104  4.70630e+00  4.124e-01  4.294e+00  0.000e+00 -5.942e-02  4.718e-01  8.560e-01  2.570e+00  8.679e-01  0.000e+00
    108  4.67927e+00  4.141e-01  4.265e+00  0.000e+00 -5.755e-02  4.717e-01  5.184e-01  2.804e+00  9.431e-01  0.000e+00
    112  4.94596e+00  4.119e-01  4.534e+00  0.000e+00 -5.972e-02  4.716e-01  4.263e-01  3.095e+00  1.012e+00  0.000e+00
    116  5.56690e+00  4.105e-01  5.156e+00  0.000e+00 -6.135e-02  4.718e-01  9.227e-01  3.236e+00  9.980e-01  0.000e+00
    120  5.40182e+00  4.111e-01  4.991e+00  0.000e+00 -6.067e-02  4.718e-01  1.235e+00  2.708e+00  1.048e+00  0.000e+00
    124  5.63218e+00  4.170e-01  5.215e+00  0.000e+00 -5.533e-02  4.724e-01  1.674e+00  2.513e+00  1.028e+00  0.000e+00
    128  5.19407e+00  4.164e-01  4.778e+00  0.000e+00 -5.649e-02  4.729e-01  1.458e+00  2.305e+00  1.015e+00  0.000e+00
    132  5.41550e+00  4.176e-01  4.998e+00  0.000e+00 -5.515e-02  4.727e-01  1.291e+00  2.711e+00  9.950e-01  0.000e+00
    136  5.50720e+00  4.201e-01  5.087e+00  0.000e+00 -5.321e-02  4.733e-01  1.176e+00  2.897e+00  1.014e+00  0.000e+00
    140  5.50561e+00  4.110e-01  5.095e+00  0.000e+00 -5.999e-02  4.709e-01  6.942e-01  3.387e+00  1.014e+00  0.000e+00
    144  5.83114e+00  4.094e-01  5.422e+00  0.000e+00 -6.200e-02  4.714e-01  1.036e+00  3.357e+00  1.029e+00  0.000e+00
    148  5.07880e+00  4.115e-01  4.667e+00  0.000e+00 -6.089e-02  4.724e-01  8.282e-01  2.764e+00  1.075e+00  0.000e+00
