#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\cyclohexane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\cyclohexane_optim.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\cyclohexane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\cyclohexane.xyz
# RANDOMSEED 558222221
# TEMPERATURE 1500.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 2
# GEOMCONF 50
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  4.77469e+01  4.569e+01  2.057e+00  0.000e+00 -6.080e-01  4.630e+01  6.363e-02  1.028e+00  9.651e-01  0.000e+00
      2  5.62893e+01  4.556e+01  1.073e+01  0.000e+00 -6.042e-01  4.616e+01  6.361e+00  3.428e+00  9.429e-01  0.000e+00
      4  6.84953e+01  4.609e+01  2.241e+01  0.000e+00 -6.010e-01  4.669e+01  1.580e+01  5.594e+00  1.011e+00  0.000e+00
      6  7.44005e+01  4.626e+01  2.814e+01  0.000e+00 -5.992e-01  4.686e+01  1.906e+01  8.082e+00  9.949e-01  0.000e+00
      8  8.08959e+01  4.500e+01  3.590e+01  0.000e+00 -6.117e-01  4.561e+01  1.862e+01  1.593e+01  1.342e+00  0.000e+00
     10  7.47778e+01  4.543e+01  2.935e+01  0.000e+00 -5.987e-01  4.603e+01  1.345e+01  1.473e+01  1.167e+00  0.000e+00
     12  7.30056e+01  4.612e+01  2.688e+01  0.000e+00 -5.863e-01  4.671e+01  1.101e+01  1.479e+01  1.075e+00  0.000e+00
     14  8.10501e+01  4.559e+01  3.546e+01  0.000e+00 -5.833e-01  4.618e+01  1.975e+01  1.457e+01  1.138e+00  0.000e+00
     16  8.86344e+01  4.491e+01  4.372e+01  0.000e+00 -5.813e-01  4.549e+01  2.372e+01  1.857e+01  1.430e+00  0.000e+00
     18  9.73690e+01  4.449e+01  5.288e+01  0.000e+00 -5.828e-01  4.507e+01  2.596e+01  2.538e+01  1.532e+00  0.000e+00
     20  9.84879e+01  4.491e+01  5.357e+01  0.000e+00 -5.700e-01  4.548e+01  2.450e+01  2.743e+01  1.638e+00  0.000e+00
     22  1.00986e+02  4.469e+01  5.629e+01  0.000e+00 -5.655e-01  4.526e+01  2.617e+01  2.831e+01  1.807e+00  0.000e+00
