#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\he20.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\he20.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\he20.xyz
# RANDOMSEED 747663306
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 5
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  4.78380e-01  4.784e-01  0.000e+00  0.000e+00  4.784e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
      5 -5.74510e-01 -5.745e-01  0.000e+00  0.000e+00 -5.745e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     10 -7.39364e-01 -7.394e-01  0.000e+00  0.000e+00 -7.394e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     15 -6.24110e-01 -6.241e-01  0.000e+00  0.000e+00 -6.241e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     20 -8.11795e-01 -8.118e-01  0.000e+00  0.000e+00 -8.118e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     25 -1.10646e+00 -1.106e+00  0.000e+00  0.000e+00 -1.106e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     30 -8.20124e-01 -8.201e-01  0.000e+00  0.000e+00 -8.201e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     35 -4.43204e-01 -4.432e-01  0.000e+00  0.000e+00 -4.432e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     40  3.86188e-01  3.862e-01  0.000e+00  0.000e+00  3.862e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     45 -8.17933e-01 -8.179e-01  0.000e+00  0.000e+00 -8.179e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     50 -9.33135e-01 -9.331e-01  0.000e+00  0.000e+00 -9.331e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     55 -9.07930e-01 -9.079e-01  0.000e+00  0.000e+00 -9.079e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     60 -1.01721e+00 -1.017e+00  0.000e+00  0.000e+00 -1.017e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     65 -1.05337e+00 -1.053e+00  0.000e+00  0.000e+00 -1.053e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     70 -1.09929e+00 -1.099e+00  0.000e+00  0.000e+00 -1.099e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     75 -1.03178e+00 -1.032e+00  0.000e+00  0.000e+00 -1.032e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     80 -5.42964e-01 -5.430e-01  0.000e+00  0.000e+00 -5.430e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     85 -6.22363e-01 -6.224e-01  0.000e+00  0.000e+00 -6.224e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     90  9.69027e-03  9.690e-03  0.000e+00  0.000e+00  9.690e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
     95  3.26117e-01  3.261e-01  0.000e+00  0.000e+00  3.261e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    100 -4.53977e-01 -4.540e-01  0.000e+00  0.000e+00 -4.540e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    105  1.33568e-02  1.336e-02  0.000e+00  0.000e+00  1.336e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    110 -9.02065e-01 -9.021e-01  0.000e+00  0.000e+00 -9.021e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    115 -8.39813e-01 -8.398e-01  0.000e+00  0.000e+00 -8.398e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    120  8.20386e-01  8.204e-01  0.000e+00  0.000e+00  8.204e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    125 -9.56410e-01 -9.564e-01  0.000e+00  0.000e+00 -9.564e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    130 -7.90911e-01 -7.909e-01  0.000e+00  0.000e+00 -7.909e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    135 -7.47759e-01 -7.478e-01  0.000e+00  0.000e+00 -7.478e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    140 -7.26231e-01 -7.262e-01  0.000e+00  0.000e+00 -7.262e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    145 -6.62797e-01 -6.628e-01  0.000e+00  0.000e+00 -6.628e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    150 -6.09467e-01 -6.095e-01  0.000e+00  0.000e+00 -6.095e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    155 -5.81460e-01 -5.815e-01  0.000e+00  0.000e+00 -5.815e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    160 -6.48985e-01 -6.490e-01  0.000e+00  0.000e+00 -6.490e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    165 -6.39305e-01 -6.393e-01  0.000e+00  0.000e+00 -6.393e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    170 -6.43676e-01 -6.437e-01  0.000e+00  0.000e+00 -6.437e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    175 -6.70189e-01 -6.702e-01  0.000e+00  0.000e+00 -6.702e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    180 -7.24624e-01 -7.246e-01  0.000e+00  0.000e+00 -7.246e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
    185 -9.93859e-02 -9.939e-02  0.000e+00  0.000e+00 -9.939e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
