#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\hexane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\hexane_optim.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.xyz
# RANDOMSEED 558222221
# TEMPERATURE 500.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 10.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 60000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
      0  8.19632e-01  2.185e-01  6.012e-01  0.000e+00 -9.219e-02  3.107e-01  1.639e-02  3.199e-01  2.649e-01  0.000e+00
      4  7.66077e+00  1.426e-01  7.518e+00  0.000e+00 -1.689e-01  3.115e-01  3.987e+00  3.104e+00  4.271e-01  0.000e+00
      8  8.77993e+00  2.013e-01  8.579e+00  0.000e+00 -1.088e-01  3.101e-01  4.927e+00  3.315e+00  3.363e-01  0.000e+00
     12  1.18430e+01  8.726e-02  1.176e+01  0.000e+00 -2.254e-01  3.127e-01  8.308e+00  3.113e+00  3.347e-01  0.000e+00
     16  1.55323e+01  9.765e-02  1.543e+01  0.000e+00 -2.112e-01  3.088e-01  1.098e+01  4.120e+00  3.359e-01  0.000e+00
     20  1.31068e+01  4.781e-02  1.306e+01  0.000e+00 -2.604e-01  3.082e-01  8.856e+00  3.827e+00  3.760e-01  0.000e+00
     24  1.21916e+01  4.468e-02  1.215e+01  0.000e+00 -2.649e-01  3.096e-01  7.565e+00  4.187e+00  3.953e-01  0.000e+00
     28  1.29092e+01  3.799e-02  1.287e+01  0.000e+00 -2.702e-01  3.082e-01  8.310e+00  4.171e+00  3.902e-01  0.000e+00
     32  1.31774e+01  2.664e-02  1.315e+01  0.000e+00 -2.828e-01  3.095e-01  7.875e+00  4.882e+00  3.941e-01  0.000e+00
     36  1.76965e+01  2.953e-02  1.767e+01  0.000e+00 -2.781e-01  3.077e-01  1.111e+01  6.122e+00  4.388e-01  0.000e+00
     40  1.50208e+01  6.136e-02  1.496e+01  0.000e+00 -2.499e-01  3.113e-01  9.027e+00  5.450e+00  4.827e-01  0.000e+00
     44  1.30826e+01  2.148e-02  1.306e+01  0.000e+00 -2.897e-01  3.112e-01  8.455e+00  4.169e+00  4.365e-01  0.000e+00
     48  1.44324e+01 -1.763e-03  1.443e+01  0.000e+00 -3.113e-01  3.096e-01  8.185e+00  5.742e+00  5.068e-01  0.000e+00
     52  1.65309e+01 -5.240e-03  1.654e+01  0.000e+00 -3.111e-01  3.058e-01  9.902e+00  6.186e+00  4.487e-01  0.000e+00
     56  1.57940e+01 -1.371e-02  1.581e+01  0.000e+00 -3.250e-01  3.113e-01  9.070e+00  6.291e+00  4.466e-01  0.000e+00
     60  1.53978e+01 -4.325e-02  1.544e+01  0.000e+00 -3.563e-01  3.131e-01  7.989e+00  6.937e+00  5.153e-01  0.000e+00
     64  1.68335e+01 -6.936e-03  1.684e+01  0.000e+00 -3.232e-01  3.163e-01  9.359e+00  6.949e+00  5.327e-01  0.000e+00
     68  1.89721e+01  1.755e-02  1.895e+01  0.000e+00 -3.011e-01  3.186e-01  1.062e+01  7.788e+00  5.438e-01  0.000e+00
     72  2.07003e+01  1.308e-02  2.069e+01  0.000e+00 -3.032e-01  3.163e-01  1.218e+01  7.948e+00  5.609e-01  0.000e+00
     76  2.07627e+01  2.271e-03  2.076e+01  0.000e+00 -3.148e-01  3.170e-01  1.237e+01  7.807e+00  5.849e-01  0.000e+00
     80  1.72647e+01 -1.072e-03  1.727e+01  0.000e+00 -3.180e-01  3.169e-01  9.459e+00  7.201e+00  6.058e-01  0.000e+00
