#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\benzene_2.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\benzene_2.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\benzene_2.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\benzene_2.xyz
# RANDOMSEED 278049999
# TEMPERATURE 298.150000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.001000 ps
# GEOMTIME 0.002500 ps
# TOTALTIME 2.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 0.300000 ps
# EQRATE 0.060000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  3.25417e+01  2.133e+01  1.121e+01 -4.101e-01  1.162e+01  0.000e+00 -5.090e-01  9.890e-02  9.870e+00  1.752e+00  4.658e-09  4.740e-10  4.686e+01  0.000e+00
 0.0010  9.65110e+01  8.070e+01  1.581e+01 -4.013e-01  1.622e+01  0.000e+00 -5.154e-01  1.142e-01  1.222e+01  3.171e+00  7.559e-01  7.245e-02  1.128e+03  4.109e+02
 0.0020  9.64654e+01  6.864e+01  2.782e+01 -3.900e-01  2.821e+01  0.000e+00 -5.221e-01  1.321e-01  1.916e+01  6.137e+00  2.661e+00  2.491e-01  9.595e+02  3.515e+02
 0.0030  9.63998e+01  5.812e+01  3.828e+01 -3.796e-01  3.866e+01  0.000e+00 -5.281e-01  1.485e-01  2.265e+01  1.005e+01  5.459e+00  5.006e-01  8.124e+02  2.922e+02
 0.0040  9.63149e+01  5.366e+01  4.266e+01 -3.734e-01  4.303e+01  0.000e+00 -5.325e-01  1.591e-01  1.933e+01  1.414e+01  8.764e+00  7.917e-01  7.501e+02  2.475e+02
 0.0050  9.62125e+01  5.149e+01  4.472e+01 -3.737e-01  4.510e+01  0.000e+00 -5.352e-01  1.615e-01  1.417e+01  1.770e+01  1.214e+01  1.088e+00  7.197e+02  2.253e+02
 0.0060  9.61027e+01  4.562e+01  5.048e+01 -3.805e-01  5.086e+01  0.000e+00 -5.367e-01  1.562e-01  1.408e+01  2.023e+01  1.518e+01  1.360e+00  6.377e+02  2.242e+02
 0.0070  9.59986e+01  3.635e+01  5.965e+01 -3.922e-01  6.004e+01  0.000e+00 -5.377e-01  1.455e-01  1.939e+01  2.149e+01  1.758e+01  1.583e+00  5.081e+02  2.347e+02
 0.0080  9.59046e+01  3.075e+01  6.515e+01 -4.054e-01  6.556e+01  0.000e+00 -5.387e-01  1.333e-01  2.321e+01  2.148e+01  1.913e+01  1.739e+00  4.299e+02  2.424e+02
 0.0090  9.58135e+01  3.449e+01  6.132e+01 -4.169e-01  6.174e+01  0.000e+00 -5.406e-01  1.237e-01  1.975e+01  2.041e+01  1.976e+01  1.818e+00  4.821e+02  2.332e+02
