#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\ch2o.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\ch2o.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\ch2o.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\ch2o.xyz
# RANDOMSEED 4004010292
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYTIME 0.020000 ps
# GEOMTIME 0.020000 ps
# TOTALTIME 10.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 3.000000 ps
# EQRATE 0.600000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  3.91183e+00  3.555e+00  3.569e-01  0.000e+00  3.569e-01  0.000e+00  0.000e+00  0.000e+00  3.503e-01  6.631e-03  0.000e+00  2.835e-06  3.681e+01  0.000e+00
 0.0200  1.45796e+01  1.272e+01  1.856e+00  0.000e+00  1.856e+00  0.000e+00  0.000e+00  0.000e+00  1.274e+00  9.215e-02  0.000e+00  4.900e-01  1.067e+03  6.380e+02
 0.0400  1.43365e+01  1.293e+01  1.410e+00  0.000e+00  1.410e+00  0.000e+00  0.000e+00  0.000e+00  7.573e-01  2.939e-01  0.000e+00  3.593e-01  1.084e+03  4.973e+02
 0.0600  1.40089e+01  1.319e+01  8.237e-01  0.000e+00  8.237e-01  0.000e+00  0.000e+00  0.000e+00  3.778e-01  4.206e-01  0.000e+00  2.531e-02  1.106e+03  7.659e-01
 0.0800  1.37311e+01  1.289e+01  8.378e-01  0.000e+00  8.378e-01  0.000e+00  0.000e+00  0.000e+00  5.173e-01  1.963e-01  0.000e+00  1.242e-01  1.081e+03 -1.568e+02
 0.1000  1.34843e+01  1.283e+01  6.502e-01  0.000e+00  6.502e-01  0.000e+00  0.000e+00  0.000e+00  1.488e-01  3.997e-02  0.000e+00  4.614e-01  1.076e+03  2.373e+02
 0.1200  1.31174e+01  1.148e+01  1.634e+00  0.000e+00  1.634e+00  0.000e+00  0.000e+00  0.000e+00  1.337e+00  1.111e-01  0.000e+00  1.855e-01  9.631e+02  6.402e+02
 0.1400  1.27617e+01  1.157e+01  1.193e+00  0.000e+00  1.193e+00  0.000e+00  0.000e+00  0.000e+00  7.027e-01  4.904e-01  0.000e+00  1.034e-04  9.703e+02  4.955e+02
 0.1600  1.25006e+01  1.157e+01  9.353e-01  0.000e+00  9.353e-01  0.000e+00  0.000e+00  0.000e+00  1.367e-01  4.518e-01  0.000e+00  3.468e-01  9.700e+02  2.038e+01
 0.1800  1.22165e+01  1.070e+01  1.519e+00  0.000e+00  1.519e+00  0.000e+00  0.000e+00  0.000e+00  6.373e-01  3.848e-01  0.000e+00  4.967e-01  8.972e+02 -1.516e+02
 0.2000  1.18314e+01  1.136e+01  4.700e-01  0.000e+00  4.700e-01  0.000e+00  0.000e+00  0.000e+00  2.489e-01  1.780e-01  0.000e+00  4.312e-02  9.529e+02  1.615e+02
 0.2200  1.15135e+01  1.075e+01  7.647e-01  0.000e+00  7.647e-01  0.000e+00  0.000e+00  0.000e+00  4.545e-01  2.764e-01  0.000e+00  3.374e-02  9.015e+02  4.174e+02
 0.2400  1.12722e+01  1.001e+01  1.265e+00  0.000e+00  1.265e+00  0.000e+00  0.000e+00  0.000e+00  1.688e-01  7.209e-01  0.000e+00  3.756e-01  8.393e+02  2.488e+02
 0.2600  1.09490e+01  9.393e+00  1.556e+00  0.000e+00  1.556e+00  0.000e+00  0.000e+00  0.000e+00  3.650e-01  9.312e-01  0.000e+00  2.598e-01  7.878e+02  1.472e+01
 0.2800  1.06348e+01  9.783e+00  8.514e-01  0.000e+00  8.514e-01  0.000e+00  0.000e+00  0.000e+00  2.589e-01  5.924e-01  0.000e+00  1.375e-06  8.205e+02  1.062e+02
 0.3000  1.04249e+01  9.859e+00  5.663e-01  0.000e+00  5.663e-01  0.000e+00  0.000e+00  0.000e+00  3.548e-01  3.448e-02  0.000e+00  1.771e-01  8.268e+02  3.621e+02
 0.3200  1.02200e+01  9.250e+00  9.704e-01  0.000e+00  9.704e-01  0.000e+00  0.000e+00  0.000e+00  3.833e-01  1.616e-01  0.000e+00  4.255e-01  7.758e+02  3.295e+02
 0.3400  9.92104e+00  8.944e+00  9.770e-01  0.000e+00  9.770e-01  0.000e+00  0.000e+00  0.000e+00  3.957e-01  4.732e-01  0.000e+00  1.081e-01  7.501e+02  3.572e+01
 0.3600  9.66776e+00  8.679e+00  9.891e-01  0.000e+00  9.891e-01  0.000e+00  0.000e+00  0.000e+00  3.258e-01  6.450e-01  0.000e+00  1.836e-02  7.279e+02 -6.320e+01
 0.3800  9.47280e+00  8.978e+00  4.953e-01  0.000e+00  4.953e-01  0.000e+00  0.000e+00  0.000e+00  7.649e-02  1.757e-01  0.000e+00  2.430e-01  7.529e+02  2.233e+02
 0.4000  9.28220e+00  8.115e+00  1.168e+00  0.000e+00  1.168e+00  0.000e+00  0.000e+00  0.000e+00  7.816e-01  5.453e-03  0.000e+00  3.805e-01  6.806e+02  4.626e+02
 0.4200  8.98486e+00  8.438e+00  5.465e-01  0.000e+00  5.465e-01  0.000e+00  0.000e+00  0.000e+00  4.826e-01  6.018e-02  0.000e+00  3.748e-03  7.077e+02  3.173e+02
 0.4400  8.79113e+00  7.905e+00  8.859e-01  0.000e+00  8.859e-01  0.000e+00  0.000e+00  0.000e+00  1.595e-01  6.180e-01  0.000e+00  1.084e-01  6.630e+02 -4.255e+00
 0.4600  8.63736e+00  7.576e+00  1.061e+00  0.000e+00  1.061e+00  0.000e+00  0.000e+00  0.000e+00  6.561e-02  6.895e-01  0.000e+00  3.064e-01  6.354e+02 -2.835e+01
 0.4800  8.43503e+00  7.843e+00  5.925e-01  0.000e+00  5.925e-01  0.000e+00  0.000e+00  0.000e+00  1.663e-01  2.640e-01  0.000e+00  1.622e-01  6.578e+02  2.266e+02
 0.5000  8.25578e+00  7.508e+00  7.480e-01  0.000e+00  7.480e-01  0.000e+00  0.000e+00  0.000e+00  4.875e-01  2.192e-01  0.000e+00  4.141e-02  6.297e+02  3.150e+02
 0.5200  8.13206e+00  7.406e+00  7.262e-01  0.000e+00  7.262e-01  0.000e+00  0.000e+00  0.000e+00  1.292e-01  3.221e-01  0.000e+00  2.749e-01  6.211e+02  9.193e+01
 0.5400  7.95966e+00  6.738e+00  1.222e+00  0.000e+00  1.222e+00  0.000e+00  0.000e+00  0.000e+00  1.387e-01  7.975e-01  0.000e+00  2.855e-01  5.651e+02 -9.000e+01
 0.5600  7.76655e+00  7.038e+00  7.284e-01  0.000e+00  7.284e-01  0.000e+00  0.000e+00  0.000e+00  9.897e-02  5.940e-01  0.000e+00  3.553e-02  5.903e+02  8.426e+01
 0.5800  7.62654e+00  6.723e+00  9.040e-01  0.000e+00  9.040e-01  0.000e+00  0.000e+00  0.000e+00  5.445e-01  2.030e-01  0.000e+00  1.565e-01  5.638e+02  3.492e+02
 0.6000  7.50700e+00  6.958e+00  5.493e-01  0.000e+00  5.493e-01  0.000e+00  0.000e+00  0.000e+00  2.552e-01  2.304e-02  0.000e+00  2.711e-01  5.835e+02  2.754e+02
 0.6200  7.34510e+00  6.719e+00  6.263e-01  0.000e+00  6.263e-01  0.000e+00  0.000e+00  0.000e+00  8.789e-02  4.034e-01  0.000e+00  1.351e-01  5.635e+02 -5.391e+01
 0.6400  7.18934e+00  6.421e+00  7.684e-01  0.000e+00  7.684e-01  0.000e+00  0.000e+00  0.000e+00  2.865e-01  4.595e-01  0.000e+00  2.237e-02  5.385e+02 -1.254e+02
 0.6600  7.11452e+00  6.181e+00  9.336e-01  0.000e+00  9.336e-01  0.000e+00  0.000e+00  0.000e+00  2.168e-01  4.114e-01  0.000e+00  3.055e-01  5.184e+02  1.581e+02
 0.6800  6.96902e+00  6.195e+00  7.738e-01  0.000e+00  7.738e-01  0.000e+00  0.000e+00  0.000e+00  4.914e-01  1.150e-01  0.000e+00  1.674e-01  5.196e+02  3.849e+02
 0.7000  6.83368e+00  6.559e+00  2.752e-01  0.000e+00  2.752e-01  0.000e+00  0.000e+00  0.000e+00  1.837e-01  6.952e-02  0.000e+00  2.199e-02  5.501e+02  2.289e+02
 0.7200  6.76208e+00  5.916e+00  8.462e-01  0.000e+00  8.462e-01  0.000e+00  0.000e+00  0.000e+00  2.438e-01  4.267e-01  0.000e+00  1.756e-01  4.962e+02 -5.133e+01
 0.7400  6.68248e+00  5.549e+00  1.133e+00  0.000e+00  1.133e+00  0.000e+00  0.000e+00  0.000e+00  2.031e-01  6.033e-01  0.000e+00  3.269e-01  4.654e+02 -3.378e+01
 0.7600  6.54130e+00  6.011e+00  5.304e-01  0.000e+00  5.304e-01  0.000e+00  0.000e+00  0.000e+00  1.433e-01  3.174e-01  0.000e+00  6.981e-02  5.041e+02  2.318e+02
 0.7800  6.41762e+00  5.967e+00  4.504e-01  0.000e+00  4.504e-01  0.000e+00  0.000e+00  0.000e+00  3.560e-01  8.168e-02  0.000e+00  1.265e-02  5.005e+02  3.069e+02
 0.8000  6.36810e+00  5.642e+00  7.259e-01  0.000e+00  7.259e-01  0.000e+00  0.000e+00  0.000e+00  1.576e-01  2.616e-01  0.000e+00  3.067e-01  4.732e+02  4.548e+01
 0.8200  6.26048e+00  5.256e+00  1.005e+00  0.000e+00  1.005e+00  0.000e+00  0.000e+00  0.000e+00  2.584e-01  5.220e-01  0.000e+00  2.243e-01  4.408e+02 -1.496e+02
 0.8400  6.14506e+00  5.509e+00  6.360e-01  0.000e+00  6.360e-01  0.000e+00  0.000e+00  0.000e+00  1.523e-01  4.777e-01  0.000e+00  5.974e-03  4.620e+02  1.785e+01
 0.8600  6.08963e+00  5.488e+00  6.018e-01  0.000e+00  6.018e-01  0.000e+00  0.000e+00  0.000e+00  4.193e-01  8.761e-02  0.000e+00  9.491e-02  4.603e+02  2.974e+02
 0.8800  6.06153e+00  5.246e+00  8.159e-01  0.000e+00  8.159e-01  0.000e+00  0.000e+00  0.000e+00  4.329e-01  4.946e-02  0.000e+00  3.335e-01  4.399e+02  2.802e+02
 0.9000  5.93116e+00  5.449e+00  4.822e-01  0.000e+00  4.822e-01  0.000e+00  0.000e+00  0.000e+00  8.517e-02  3.246e-01  0.000e+00  7.242e-02  4.570e+02  1.692e+01
 0.9200  5.85834e+00  5.212e+00  6.464e-01  0.000e+00  6.464e-01  0.000e+00  0.000e+00  0.000e+00  1.377e-01  4.687e-01  0.000e+00  4.001e-02  4.371e+02 -9.105e+01
 0.9400  5.81419e+00  5.043e+00  7.714e-01  0.000e+00  7.714e-01  0.000e+00  0.000e+00  0.000e+00  2.952e-01  2.495e-01  0.000e+00  2.266e-01  4.229e+02  9.195e+01
 0.9600  5.77306e+00  4.993e+00  7.804e-01  0.000e+00  7.804e-01  0.000e+00  0.000e+00  0.000e+00  3.591e-01  1.322e-01  0.000e+00  2.892e-01  4.187e+02  2.501e+02
 0.9800  5.64248e+00  5.385e+00  2.578e-01  0.000e+00  2.578e-01  0.000e+00  0.000e+00  0.000e+00  1.983e-01  5.911e-02  0.000e+00  4.575e-04  4.516e+02  1.732e+02
 1.0000  5.59845e+00  4.972e+00  6.265e-01  0.000e+00  6.265e-01  0.000e+00  0.000e+00  0.000e+00  8.602e-02  4.265e-01  0.000e+00  1.141e-01  4.170e+02  2.518e+01
 1.0200  5.55859e+00  4.499e+00  1.059e+00  0.000e+00  1.059e+00  0.000e+00  0.000e+00  0.000e+00  1.846e-01  6.289e-01  0.000e+00  2.458e-01  3.774e+02  5.711e+01
 1.0400  5.47052e+00  4.777e+00  6.938e-01  0.000e+00  6.938e-01  0.000e+00  0.000e+00  0.000e+00  3.809e-01  2.274e-01  0.000e+00  8.545e-02  4.006e+02  1.872e+02
 1.0600  5.42572e+00  5.275e+00  1.506e-01  0.000e+00  1.506e-01  0.000e+00  0.000e+00  0.000e+00  6.397e-02  3.469e-03  0.000e+00  8.318e-02  4.424e+02  1.591e+02
 1.0800  5.40936e+00  4.847e+00  5.620e-01  0.000e+00  5.620e-01  0.000e+00  0.000e+00  0.000e+00  1.096e-01  2.020e-01  0.000e+00  2.504e-01  4.066e+02  1.286e+00
 1.1000  5.35399e+00  4.336e+00  1.018e+00  0.000e+00  1.018e+00  0.000e+00  0.000e+00  0.000e+00  2.684e-01  5.456e-01  0.000e+00  2.038e-01  3.637e+02 -4.011e+01
 1.1200  5.27818e+00  4.410e+00  8.684e-01  0.000e+00  8.684e-01  0.000e+00  0.000e+00  0.000e+00  2.531e-01  6.136e-01  0.000e+00  1.783e-03  3.698e+02  1.144e+02
 1.1400  5.25612e+00  4.614e+00  6.426e-01  0.000e+00  6.426e-01  0.000e+00  0.000e+00  0.000e+00  1.936e-01  2.577e-01  0.000e+00  1.913e-01  3.869e+02  2.224e+02
 1.1600  5.21445e+00  4.903e+00  3.110e-01  0.000e+00  3.110e-01  0.000e+00  0.000e+00  0.000e+00  5.995e-02  2.119e-02  0.000e+00  2.299e-01  4.112e+02  1.126e+02
 1.1800  5.13293e+00  4.581e+00  5.520e-01  0.000e+00  5.520e-01  0.000e+00  0.000e+00  0.000e+00  1.898e-01  2.955e-01  0.000e+00  6.668e-02  3.842e+02 -4.192e+01
 1.2000  5.08620e+00  4.418e+00  6.684e-01  0.000e+00  6.684e-01  0.000e+00  0.000e+00  0.000e+00  1.578e-01  4.522e-01  0.000e+00  5.837e-02  3.705e+02  2.713e+01
 1.2200  5.09182e+00  4.238e+00  8.543e-01  0.000e+00  8.543e-01  0.000e+00  0.000e+00  0.000e+00  2.004e-01  3.918e-01  0.000e+00  2.622e-01  3.554e+02  2.188e+02
 1.2400  5.03307e+00  4.499e+00  5.339e-01  0.000e+00  5.339e-01  0.000e+00  0.000e+00  0.000e+00  2.454e-01  1.767e-01  0.000e+00  1.118e-01  3.773e+02  2.419e+02
 1.2600  4.98201e+00  4.709e+00  2.732e-01  0.000e+00  2.732e-01  0.000e+00  0.000e+00  0.000e+00  2.187e-01  5.448e-02  0.000e+00  3.536e-05  3.949e+02  4.925e+01
 1.2800  4.99814e+00  4.289e+00  7.093e-01  0.000e+00  7.093e-01  0.000e+00  0.000e+00  0.000e+00  1.922e-01  2.805e-01  0.000e+00  2.366e-01  3.597e+02 -8.128e+01
 1.3000  4.95832e+00  4.025e+00  9.332e-01  0.000e+00  9.332e-01  0.000e+00  0.000e+00  0.000e+00  1.869e-01  4.966e-01  0.000e+00  2.497e-01  3.376e+02  2.674e+01
 1.3200  4.88559e+00  4.368e+00  5.174e-01  0.000e+00  5.174e-01  0.000e+00  0.000e+00  0.000e+00  1.802e-01  3.141e-01  0.000e+00  2.314e-02  3.664e+02  1.926e+02
 1.3400  4.84860e+00  4.465e+00  3.831e-01  0.000e+00  3.831e-01  0.000e+00  0.000e+00  0.000e+00  2.877e-01  4.625e-02  0.000e+00  4.916e-02  3.745e+02  1.714e+02
 1.3600  4.86877e+00  4.177e+00  6.917e-01  0.000e+00  6.917e-01  0.000e+00  0.000e+00  0.000e+00  2.055e-01  1.813e-01  0.000e+00  3.049e-01  3.503e+02  2.248e+01
 1.3800  4.80297e+00  4.333e+00  4.703e-01  0.000e+00  4.703e-01  0.000e+00  0.000e+00  0.000e+00  4.850e-02  3.390e-01  0.000e+00  8.284e-02  3.634e+02 -1.289e+01
 1.4000  4.76467e+00  3.859e+00  9.054e-01  0.000e+00  9.054e-01  0.000e+00  0.000e+00  0.000e+00  3.085e-01  5.842e-01  0.000e+00  1.273e-02  3.237e+02  8.049e+01
 1.4200  4.76657e+00  4.152e+00  6.147e-01  0.000e+00  6.147e-01  0.000e+00  0.000e+00  0.000e+00  1.351e-01  3.005e-01  0.000e+00  1.791e-01  3.482e+02  1.329e+02
 1.4400  4.75617e+00  4.281e+00  4.751e-01  0.000e+00  4.751e-01  0.000e+00  0.000e+00  0.000e+00  1.985e-01  1.260e-02  0.000e+00  2.640e-01  3.591e+02  7.388e+01
 1.4600  4.68850e+00  4.418e+00  2.706e-01  0.000e+00  2.706e-01  0.000e+00  0.000e+00  0.000e+00  7.128e-02  1.928e-01  0.000e+00  6.541e-03  3.705e+02  2.468e+01
 1.4800  4.69076e+00  3.852e+00  8.389e-01  0.000e+00  8.389e-01  0.000e+00  0.000e+00  0.000e+00  2.392e-01  5.062e-01  0.000e+00  9.351e-02  3.231e+02  7.462e+01
