#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\ethane.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\ethane.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\ethane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\ethane.xyz
# RANDOMSEED 3435445132
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.001000 ps
# GEOMTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000100 ps
# EQTIME 0.000000 ps
# EQRATE 0.500000 ps
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  7.39444e+00  7.110e+00  2.846e-01  0.000e+00  2.846e-01  0.000e+00  0.000e+00  0.000e+00  9.563e-02  1.886e-01  4.173e-04  0.000e+00  3.085e+01  0.000e+00
 0.0010  2.87252e+01  2.616e+01  2.568e+00  0.000e+00  2.568e+00  0.000e+00  0.000e+00  0.000e+00  1.619e+00  9.344e-01  1.517e-02  0.000e+00  1.097e+03  3.915e+02
 0.0020  2.87276e+01  2.085e+01  7.874e+00  0.000e+00  7.874e+00  0.000e+00  0.000e+00  0.000e+00  4.228e+00  3.596e+00  4.992e-02  0.000e+00  8.745e+02  4.573e+02
 0.0030  2.87287e+01  1.605e+01  1.268e+01  0.000e+00  1.268e+01  0.000e+00  0.000e+00  0.000e+00  5.113e+00  7.476e+00  9.385e-02  0.000e+00  6.729e+02  5.345e+02
 0.0040  2.87280e+01  1.348e+01  1.525e+01  0.000e+00  1.525e+01  0.000e+00  0.000e+00  0.000e+00  3.616e+00  1.150e+01  1.356e-01  0.000e+00  5.651e+02  6.081e+02
 0.0050  2.87269e+01  1.221e+01  1.651e+01  0.000e+00  1.651e+01  0.000e+00  0.000e+00  0.000e+00  1.773e+00  1.457e+01  1.659e-01  0.000e+00  5.122e+02  6.592e+02
 0.0060  2.87272e+01  1.080e+01  1.793e+01  0.000e+00  1.793e+01  0.000e+00  0.000e+00  0.000e+00  1.822e+00  1.592e+01  1.789e-01  0.000e+00  4.530e+02  6.731e+02
 0.0070  2.87287e+01  9.656e+00  1.907e+01  0.000e+00  1.907e+01  0.000e+00  0.000e+00  0.000e+00  3.644e+00  1.526e+01  1.720e-01  0.000e+00  4.049e+02  6.453e+02
 0.0080  2.87294e+01  1.080e+01  1.793e+01  0.000e+00  1.793e+01  0.000e+00  0.000e+00  0.000e+00  4.993e+00  1.279e+01  1.468e-01  0.000e+00  4.529e+02  5.847e+02
 0.0090  2.87282e+01  1.527e+01  1.346e+01  0.000e+00  1.346e+01  0.000e+00  0.000e+00  0.000e+00  4.126e+00  9.220e+00  1.100e-01  0.000e+00  6.405e+02  5.101e+02
 0.0100  2.87260e+01  2.131e+01  7.421e+00  0.000e+00  7.421e+00  0.000e+00  0.000e+00  0.000e+00  1.783e+00  5.565e+00  7.336e-02  0.000e+00  8.934e+02  4.434e+02
 0.0110  2.87246e+01  2.549e+01  3.239e+00  0.000e+00  3.239e+00  0.000e+00  0.000e+00  0.000e+00  2.873e-01  2.901e+00  5.079e-02  0.000e+00  1.069e+03  4.002e+02
 0.0120  2.87253e+01  2.573e+01  2.993e+00  0.000e+00  2.993e+00  0.000e+00  0.000e+00  0.000e+00  9.209e-01  2.019e+00  5.338e-02  0.000e+00  1.079e+03  3.825e+02
 0.0130  2.87270e+01  2.289e+01  5.838e+00  0.000e+00  5.838e+00  0.000e+00  0.000e+00  0.000e+00  2.633e+00  3.120e+00  8.479e-02  0.000e+00  9.599e+02  3.768e+02
 0.0140  2.87281e+01  1.945e+01  9.279e+00  0.000e+00  9.279e+00  0.000e+00  0.000e+00  0.000e+00  3.422e+00  5.718e+00  1.386e-01  0.000e+00  8.156e+02  3.586e+02
 0.0150  2.87279e+01  1.706e+01  1.167e+01  0.000e+00  1.167e+01  0.000e+00  0.000e+00  0.000e+00  2.598e+00  8.868e+00  2.005e-01  0.000e+00  7.155e+02  3.037e+02
 0.0160  2.87273e+01  1.553e+01  1.320e+01  0.000e+00  1.320e+01  0.000e+00  0.000e+00  0.000e+00  1.369e+00  1.158e+01  2.551e-01  0.000e+00  6.511e+02  1.998e+02
 0.0170  2.87274e+01  1.399e+01  1.474e+01  0.000e+00  1.474e+01  0.000e+00  0.000e+00  0.000e+00  1.316e+00  1.313e+01  2.908e-01  0.000e+00  5.866e+02  5.632e+01
 0.0180  2.87283e+01  1.260e+01  1.613e+01  0.000e+00  1.613e+01  0.000e+00  0.000e+00  0.000e+00  2.558e+00  1.327e+01  3.023e-01  0.000e+00  5.283e+02 -9.443e+01
