#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\h2o.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o.xyz
# RANDOMSEED 3473404960
# TEMPERATURE 298.150000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 1.000000 s
# ENERGYTIME 0.002000 ps
# GEOMTIME 0.001000 ps
# TOTALTIME 1.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 0.000000 ps
# EQRATE 0.500000 ps
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  3.59409e+00  2.666e+00  9.279e-01  0.000e+00  9.279e-01  0.000e+00  0.000e+00  0.000e+00  1.812e-01  7.467e-01  0.000e+00  0.000e+00  5.087e+01  0.000e+00
 0.0020  1.15959e+01  9.073e+00  2.523e+00  0.000e+00  2.523e+00  0.000e+00  0.000e+00  0.000e+00  2.463e+00  5.969e-02  0.000e+00  0.000e+00  1.015e+03 -3.877e+01
 0.0040  1.15930e+01  1.116e+01  4.363e-01  0.000e+00  4.363e-01  0.000e+00  0.000e+00  0.000e+00  2.265e-01  2.098e-01  0.000e+00  0.000e+00  1.248e+03  4.799e+00
 0.0060  1.15955e+01  8.513e+00  3.082e+00  0.000e+00  3.082e+00  0.000e+00  0.000e+00  0.000e+00  2.510e+00  5.726e-01  0.000e+00  0.000e+00  9.520e+02  1.041e+02
 0.0080  1.15940e+01  9.984e+00  1.610e+00  0.000e+00  1.610e+00  0.000e+00  0.000e+00  0.000e+00  1.475e+00  1.354e-01  0.000e+00  0.000e+00  1.116e+03  9.294e+01
 0.0100  1.15940e+01  1.041e+01  1.180e+00  0.000e+00  1.180e+00  0.000e+00  0.000e+00  0.000e+00  8.628e-01  3.170e-01  0.000e+00  0.000e+00  1.165e+03 -9.160e+00
 0.0120  1.15954e+01  8.635e+00  2.961e+00  0.000e+00  2.961e+00  0.000e+00  0.000e+00  0.000e+00  1.328e+00  1.633e+00  0.000e+00  0.000e+00  9.656e+02 -3.086e+01
 0.0140  1.15936e+01  9.932e+00  1.662e+00  0.000e+00  1.662e+00  0.000e+00  0.000e+00  0.000e+00  6.150e-01  1.047e+00  0.000e+00  0.000e+00  1.111e+03  6.521e+01
 0.0160  1.15954e+01  8.980e+00  2.615e+00  0.000e+00  2.615e+00  0.000e+00  0.000e+00  0.000e+00  2.601e+00  1.403e-02  0.000e+00  0.000e+00  1.004e+03  1.205e+02
 0.0180  1.15931e+01  1.084e+01  7.537e-01  0.000e+00  7.537e-01  0.000e+00  0.000e+00  0.000e+00  2.942e-01  4.596e-01  0.000e+00  0.000e+00  1.212e+03  4.151e+01
 0.0200  1.15962e+01  8.583e+00  3.014e+00  0.000e+00  3.014e+00  0.000e+00  0.000e+00  0.000e+00  2.345e+00  6.684e-01  0.000e+00  0.000e+00  9.598e+02 -4.460e+01
 0.0220  1.15928e+01  1.141e+01  1.798e-01  0.000e+00  1.798e-01  0.000e+00  0.000e+00  0.000e+00  8.418e-02  9.561e-02  0.000e+00  0.000e+00  1.276e+03  4.865e+00
 0.0240  1.15955e+01  8.681e+00  2.914e+00  0.000e+00  2.914e+00  0.000e+00  0.000e+00  0.000e+00  2.804e+00  1.100e-01  0.000e+00  0.000e+00  9.708e+02  1.107e+02
 0.0260  1.15938e+01  9.630e+00  1.964e+00  0.000e+00  1.964e+00  0.000e+00  0.000e+00  0.000e+00  1.320e+00  6.442e-01  0.000e+00  0.000e+00  1.077e+03  9.971e+01
 0.0280  1.15947e+01  9.274e+00  2.321e+00  0.000e+00  2.321e+00  0.000e+00  0.000e+00  0.000e+00  1.529e+00  7.918e-01  0.000e+00  0.000e+00  1.037e+03 -1.022e+01
 0.0300  1.15947e+01  9.896e+00  1.699e+00  0.000e+00  1.699e+00  0.000e+00  0.000e+00  0.000e+00  1.592e+00  1.066e-01  0.000e+00  0.000e+00  1.107e+03 -3.753e+01
 0.0320  1.15933e+01  1.065e+01  9.482e-01  0.000e+00  9.482e-01  0.000e+00  0.000e+00  0.000e+00  5.766e-01  3.717e-01  0.000e+00  0.000e+00  1.190e+03  6.309e+01
 0.0340  1.15960e+01  7.711e+00  3.885e+00  0.000e+00  3.885e+00  0.000e+00  0.000e+00  0.000e+00  2.635e+00  1.250e+00  0.000e+00  0.000e+00  8.623e+02  1.223e+02
 0.0360  1.15931e+01  1.081e+01  7.822e-01  0.000e+00  7.822e-01  0.000e+00  0.000e+00  0.000e+00  2.390e-01  5.432e-01  0.000e+00  0.000e+00  1.209e+03  3.830e+01
 0.0380  1.15956e+01  9.695e+00  1.900e+00  0.000e+00  1.900e+00  0.000e+00  0.000e+00  0.000e+00  1.815e+00  8.500e-02  0.000e+00  0.000e+00  1.084e+03 -4.739e+01
 0.0400  1.15935e+01  1.068e+01  9.147e-01  0.000e+00  9.147e-01  0.000e+00  0.000e+00  0.000e+00  7.303e-02  8.417e-01  0.000e+00  0.000e+00  1.194e+03  1.307e+01
 0.0420  1.15956e+01  8.473e+00  3.123e+00  0.000e+00  3.123e+00  0.000e+00  0.000e+00  0.000e+00  2.734e+00  3.890e-01  0.000e+00  0.000e+00  9.475e+02  1.223e+02
 0.0440  1.15934e+01  1.043e+01  1.166e+00  0.000e+00  1.166e+00  0.000e+00  0.000e+00  0.000e+00  1.156e+00  9.565e-03  0.000e+00  0.000e+00  1.166e+03  9.753e+01
 0.0460  1.15949e+01  9.360e+00  2.235e+00  0.000e+00  2.235e+00  0.000e+00  0.000e+00  0.000e+00  1.695e+00  5.401e-01  0.000e+00  0.000e+00  1.047e+03 -2.455e+01
 0.0480  1.15945e+01  9.529e+00  2.065e+00  0.000e+00  2.065e+00  0.000e+00  0.000e+00  0.000e+00  1.083e+00  9.819e-01  0.000e+00  0.000e+00  1.066e+03 -4.489e+01
 0.0500  1.15939e+01  9.565e+00  2.028e+00  0.000e+00  2.028e+00  0.000e+00  0.000e+00  0.000e+00  1.388e+00  6.404e-01  0.000e+00  0.000e+00  1.070e+03  6.921e+01
 0.0520  1.15951e+01  8.685e+00  2.910e+00  0.000e+00  2.910e+00  0.000e+00  0.000e+00  0.000e+00  2.873e+00  3.713e-02  0.000e+00  0.000e+00  9.712e+02  1.289e+02
 0.0540  1.15932e+01  1.088e+01  7.125e-01  0.000e+00  7.125e-01  0.000e+00  0.000e+00  0.000e+00  3.225e-01  3.900e-01  0.000e+00  0.000e+00  1.217e+03  3.867e+01
 0.0560  1.15960e+01  9.068e+00  2.528e+00  0.000e+00  2.528e+00  0.000e+00  0.000e+00  0.000e+00  1.520e+00  1.008e+00  0.000e+00  0.000e+00  1.014e+03 -4.729e+01
 0.0580  1.15931e+01  1.128e+01  3.103e-01  0.000e+00  3.103e-01  0.000e+00  0.000e+00  0.000e+00  1.784e-01  1.319e-01  0.000e+00  0.000e+00  1.262e+03  1.630e+01
 0.0600  1.15953e+01  8.585e+00  3.010e+00  0.000e+00  3.010e+00  0.000e+00  0.000e+00  0.000e+00  2.567e+00  4.431e-01  0.000e+00  0.000e+00  9.601e+02  1.211e+02
 0.0620  1.15941e+01  9.360e+00  2.234e+00  0.000e+00  2.234e+00  0.000e+00  0.000e+00  0.000e+00  9.376e-01  1.297e+00  0.000e+00  0.000e+00  1.047e+03  8.700e+01
 0.0640  1.15948e+01  9.989e+00  1.606e+00  0.000e+00  1.606e+00  0.000e+00  0.000e+00  0.000e+00  1.108e+00  4.977e-01  0.000e+00  0.000e+00  1.117e+03 -3.211e+01
 0.0660  1.15939e+01  1.069e+01  9.056e-01  0.000e+00  9.056e-01  0.000e+00  0.000e+00  0.000e+00  8.659e-01  3.964e-02  0.000e+00  0.000e+00  1.195e+03 -3.470e+01
 0.0680  1.15945e+01  8.948e+00  2.646e+00  0.000e+00  2.646e+00  0.000e+00  0.000e+00  0.000e+00  2.092e+00  5.548e-01  0.000e+00  0.000e+00  1.001e+03  8.636e+01
 0.0700  1.15948e+01  8.497e+00  3.098e+00  0.000e+00  3.098e+00  0.000e+00  0.000e+00  0.000e+00  2.485e+00  6.133e-01  0.000e+00  0.000e+00  9.502e+02  1.302e+02
 0.0720  1.15937e+01  1.057e+01  1.026e+00  0.000e+00  1.026e+00  0.000e+00  0.000e+00  0.000e+00  8.252e-01  2.008e-01  0.000e+00  0.000e+00  1.182e+03  2.433e+01
 0.0740  1.15951e+01  9.999e+00  1.596e+00  0.000e+00  1.596e+00  0.000e+00  0.000e+00  0.000e+00  1.556e+00  4.022e-02  0.000e+00  0.000e+00  1.118e+03 -5.516e+01
 0.0760  1.15936e+01  1.029e+01  1.308e+00  0.000e+00  1.308e+00  0.000e+00  0.000e+00  0.000e+00  6.928e-01  6.157e-01  0.000e+00  0.000e+00  1.150e+03  2.218e+01
 0.0780  1.15955e+01  8.258e+00  3.337e+00  0.000e+00  3.337e+00  0.000e+00  0.000e+00  0.000e+00  2.790e+00  5.471e-01  0.000e+00  0.000e+00  9.235e+02  1.244e+02
 0.0800  1.15933e+01  1.076e+01  8.337e-01  0.000e+00  8.337e-01  0.000e+00  0.000e+00  0.000e+00  8.327e-01  9.830e-04  0.000e+00  0.000e+00  1.203e+03  8.129e+01
 0.0820  1.15950e+01  9.468e+00  2.127e+00  0.000e+00  2.127e+00  0.000e+00  0.000e+00  0.000e+00  1.048e+00  1.080e+00  0.000e+00  0.000e+00  1.059e+03 -3.178e+01
 0.0840  1.15945e+01  9.253e+00  2.342e+00  0.000e+00  2.342e+00  0.000e+00  0.000e+00  0.000e+00  6.425e-01  1.699e+00  0.000e+00  0.000e+00  1.035e+03 -2.488e+01
 0.0860  1.15942e+01  9.618e+00  1.976e+00  0.000e+00  1.976e+00  0.000e+00  0.000e+00  0.000e+00  1.623e+00  3.527e-01  0.000e+00  0.000e+00  1.076e+03  9.014e+01
 0.0880  1.15945e+01  9.454e+00  2.140e+00  0.000e+00  2.140e+00  0.000e+00  0.000e+00  0.000e+00  2.048e+00  9.180e-02  0.000e+00  0.000e+00  1.057e+03  1.213e+02
 0.0900  1.15943e+01  1.009e+01  1.507e+00  0.000e+00  1.507e+00  0.000e+00  0.000e+00  0.000e+00  9.415e-01  5.655e-01  0.000e+00  0.000e+00  1.128e+03  1.476e+01
 0.0920  1.15949e+01  1.002e+01  1.578e+00  0.000e+00  1.578e+00  0.000e+00  0.000e+00  0.000e+00  1.300e+00  2.782e-01  0.000e+00  0.000e+00  1.120e+03 -5.367e+01
