#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_5.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_5.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_5.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_5.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 3.000000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.000000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000 -2.08359e+01  1.333e+01 -3.417e+01 -4.214e+01  7.970e+00  0.000e+00  1.174e+01 -5.388e+01  3.999e+00  3.972e+00  0.000e+00  0.000e+00  5.231e+01  0.000e+00
 0.0050  1.91033e+01  4.774e+01 -2.864e+01 -3.445e+01  5.813e+00  0.000e+00  1.394e+01 -4.839e+01  3.331e+00  2.482e+00  0.000e+00  0.000e+00  1.068e+03 -4.760e+02
 0.0100  1.89742e+01  3.061e+01 -1.163e+01 -2.835e+01  1.671e+01  0.000e+00  1.677e+01 -4.512e+01  1.111e+01  5.603e+00  0.000e+00  0.000e+00  6.845e+02  1.052e+03
 0.0150  1.88101e+01  2.689e+01 -8.083e+00 -2.501e+01  1.693e+01  0.000e+00  1.916e+01 -4.418e+01  1.113e+01  5.795e+00  0.000e+00  0.000e+00  6.015e+02 -1.210e+03
 0.0200  1.86260e+01  3.191e+01 -1.328e+01 -2.735e+01  1.407e+01  0.000e+00  1.943e+01 -4.678e+01  1.372e+01  3.473e-01  0.000e+00  0.000e+00  7.137e+02  5.828e+02
 0.0250  1.83856e+01  3.371e+01 -1.532e+01 -3.050e+01  1.518e+01  0.000e+00  1.764e+01 -4.814e+01  1.076e+01  4.422e+00  0.000e+00  0.000e+00  7.539e+02 -2.552e+02
 0.0300  1.80744e+01  3.429e+01 -1.622e+01 -3.420e+01  1.798e+01  0.000e+00  1.482e+01 -4.901e+01  9.681e+00  8.303e+00  0.000e+00  0.000e+00  7.669e+02  4.986e+02
 0.0350  1.77389e+01  4.109e+01 -2.335e+01 -2.896e+01  5.610e+00  0.000e+00  1.185e+01 -4.082e+01  5.322e+00  2.883e-01  0.000e+00  0.000e+00  9.190e+02  4.246e+02
 0.0400  1.73916e+01  4.267e+01 -2.528e+01 -2.944e+01  4.156e+00  0.000e+00  9.127e+00 -3.857e+01  2.779e+00  1.377e+00  0.000e+00  0.000e+00  9.544e+02  2.074e+02
 0.0450  1.69905e+01  3.660e+01 -1.961e+01 -3.652e+01  1.692e+01  0.000e+00  7.057e+00 -4.358e+01  3.537e+00  1.338e+01  0.000e+00  0.000e+00  8.185e+02  1.260e+03
 0.0500  1.65710e+01  3.810e+01 -2.153e+01 -2.783e+01  6.303e+00  0.000e+00  5.562e+00 -3.339e+01  4.565e+00  1.737e+00  0.000e+00  0.000e+00  8.521e+02 -1.485e+00
