#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_6_f.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_6_f.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 4.500000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.500000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  2.16479e+01  1.689e+01  4.762e+00 -8.054e-01  5.567e+00  0.000e+00  7.710e-01 -1.576e+00  1.087e+00  4.480e+00  0.000e+00  0.000e+00  5.273e+01  0.000e+00
 0.0050  7.22190e+01  6.004e+01  1.217e+01 -1.002e+00  1.318e+01  0.000e+00  1.464e+00 -2.466e+00  4.359e+00  8.818e+00  0.000e+00  0.000e+00  1.060e+03 -8.188e+01
 0.0100  7.19461e+01  6.658e+01  5.370e+00 -1.197e+01  1.734e+01  0.000e+00  1.916e+00 -1.388e+01  8.971e+00  8.366e+00  0.000e+00  0.000e+00  1.176e+03  1.968e+03
 0.0150  7.14451e+01  8.265e+01 -1.121e+01 -2.340e+01  1.220e+01  0.000e+00  1.749e+00 -2.515e+01  1.113e+01  1.068e+00  0.000e+00  0.000e+00  1.459e+03  7.748e+02
 0.0200  7.06455e+01  8.427e+01 -1.363e+01 -3.766e+01  2.403e+01  0.000e+00  9.448e-01 -3.861e+01  1.482e+01  9.211e+00  0.000e+00  0.000e+00  1.488e+03  2.602e+03
 0.0250  6.95314e+01  9.497e+01 -2.544e+01 -4.048e+01  1.504e+01  0.000e+00  3.602e-01 -4.084e+01  7.901e+00  7.137e+00  0.000e+00  0.000e+00  1.677e+03  1.811e+03
 0.0300  6.82141e+01  1.003e+02 -3.208e+01 -4.105e+01  8.970e+00  0.000e+00 -3.150e-01 -4.074e+01  6.131e+00  2.839e+00  0.000e+00  0.000e+00  1.771e+03  2.439e+03
 0.0350  6.67559e+01  9.855e+01 -3.179e+01 -4.403e+01  1.224e+01  0.000e+00 -6.140e-01 -4.341e+01  2.987e+00  9.251e+00  0.000e+00  0.000e+00  1.740e+03  2.237e+03
 0.0400  6.51860e+01  9.592e+01 -3.073e+01 -3.643e+01  5.696e+00  0.000e+00 -7.186e-01 -3.571e+01  3.098e+00  2.598e+00  0.000e+00  0.000e+00  1.694e+03  1.937e+03
 0.0450  6.36195e+01  7.872e+01 -1.510e+01 -3.423e+01  1.913e+01  0.000e+00 -8.116e-01 -3.342e+01  8.479e+00  1.065e+01  0.000e+00  0.000e+00  1.390e+03  2.366e+03
 0.0500  6.22278e+01  7.417e+01 -1.194e+01 -2.279e+01  1.085e+01  0.000e+00 -8.827e-01 -2.191e+01  7.036e+00  3.813e+00  0.000e+00  0.000e+00  1.310e+03  8.257e+02
 0.0550  6.08691e+01  6.625e+01 -5.380e+00 -2.362e+01  1.824e+01  0.000e+00 -9.775e-01 -2.264e+01  1.248e+01  5.755e+00  0.000e+00  0.000e+00  1.170e+03  2.445e+03
 0.0600  5.94439e+01  6.884e+01 -9.395e+00 -2.740e+01  1.800e+01  0.000e+00 -1.052e+00 -2.634e+01  9.498e+00  8.502e+00  0.000e+00  0.000e+00  1.215e+03  9.472e+02
 0.0650  5.79745e+01  7.447e+01 -1.650e+01 -2.793e+01  1.143e+01  0.000e+00 -1.074e+00 -2.686e+01  9.224e+00  2.211e+00  0.000e+00  0.000e+00  1.315e+03  2.249e+03
 0.0700  5.64069e+01  8.015e+01 -2.374e+01 -3.484e+01  1.110e+01  0.000e+00 -1.082e+00 -3.376e+01  5.566e+00  5.538e+00  0.000e+00  0.000e+00  1.415e+03  1.644e+03
 0.0750  5.47651e+01  8.146e+01 -2.670e+01 -4.124e+01  1.454e+01  0.000e+00 -1.038e+00 -4.020e+01  3.823e+00  1.072e+01  0.000e+00  0.000e+00  1.438e+03  1.946e+03
 0.0800  5.29488e+01  8.988e+01 -3.693e+01 -4.547e+01  8.540e+00  0.000e+00 -9.357e-01 -4.453e+01  4.031e+00  4.509e+00  0.000e+00  0.000e+00  1.587e+03  2.478e+03
 0.0850  5.10688e+01  9.125e+01 -4.018e+01 -4.938e+01  9.190e+00  0.000e+00 -8.250e-01 -4.855e+01  5.023e+00  4.167e+00  0.000e+00  0.000e+00  1.611e+03  1.786e+03
 0.0900  4.92480e+01  7.562e+01 -2.637e+01 -4.352e+01  1.715e+01  0.000e+00 -6.438e-01 -4.287e+01  6.812e+00  1.033e+01  0.000e+00  0.000e+00  1.335e+03  2.485e+03
 0.0950  4.75527e+01  7.190e+01 -2.434e+01 -3.806e+01  1.371e+01  0.000e+00 -3.541e-01 -3.770e+01  8.803e+00  4.910e+00  0.000e+00  0.000e+00  1.269e+03  1.090e+03
 0.1000  4.58707e+01  6.808e+01 -2.221e+01 -4.012e+01  1.791e+01  0.000e+00  3.020e-02 -4.015e+01  9.893e+00  8.020e+00  0.000e+00  0.000e+00  1.202e+03  2.521e+03
 0.1050  4.42434e+01  7.077e+01 -2.653e+01 -4.172e+01  1.519e+01  0.000e+00  7.442e-01 -4.246e+01  1.097e+01  4.216e+00  0.000e+00  0.000e+00  1.250e+03  1.162e+03
