#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\h2o_6_f_lowE.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\h2o_6_f_lowE.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f_lowE.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\h2o_6_f_lowE.xyz
# RANDOMSEED 2946218840
# TEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.005000 ps
# GEOMTIME 0.010000 ps
# TOTALTIME 4.500000 ps
# TIMESTEP 0.000100 ps
# EQTIME 1.500000 ps
# EQRATE 0.200000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000 -2.85721e+01  1.689e+01 -4.546e+01 -5.103e+01  5.567e+00  0.000e+00 -2.228e-01 -5.080e+01  1.087e+00  4.480e+00  0.000e+00  0.000e+00  5.273e+01  0.000e+00
 0.0050  2.20026e+01  6.771e+01 -4.571e+01 -5.615e+01  1.044e+01  0.000e+00 -5.247e-02 -5.610e+01  2.818e+00  7.623e+00  0.000e+00  0.000e+00  1.196e+03  1.140e+03
 0.0100  2.17811e+01  5.703e+01 -3.525e+01 -5.812e+01  2.288e+01  0.000e+00  1.506e-01 -5.827e+01  8.635e+00  1.424e+01  0.000e+00  0.000e+00  1.007e+03  1.336e+03
 0.0150  2.14358e+01  5.028e+01 -2.884e+01 -4.894e+01  2.010e+01  0.000e+00  4.800e-01 -4.942e+01  1.383e+01  6.270e+00  0.000e+00  0.000e+00  8.877e+02  1.661e+03
 0.0200  2.10074e+01  5.293e+01 -3.192e+01 -5.658e+01  2.465e+01  0.000e+00  6.285e-01 -5.720e+01  1.562e+01  9.039e+00  0.000e+00  0.000e+00  9.345e+02  8.875e+02
 0.0250  2.05025e+01  5.307e+01 -3.257e+01 -5.721e+01  2.464e+01  0.000e+00  5.748e-01 -5.778e+01  1.290e+01  1.173e+01  0.000e+00  0.000e+00  9.371e+02  1.850e+03
 0.0300  1.99113e+01  5.383e+01 -3.392e+01 -5.003e+01  1.611e+01  0.000e+00  7.847e-01 -5.082e+01  8.411e+00  7.702e+00  0.000e+00  0.000e+00  9.505e+02  9.334e+02
 0.0350  1.92496e+01  6.204e+01 -4.279e+01 -6.037e+01  1.758e+01  0.000e+00  7.162e-01 -6.109e+01  5.020e+00  1.256e+01  0.000e+00  0.000e+00  1.095e+03  1.812e+03
 0.0400  1.85441e+01  6.593e+01 -4.739e+01 -5.690e+01  9.517e+00  0.000e+00  1.354e+00 -5.826e+01  1.228e+00  8.288e+00  0.000e+00  0.000e+00  1.164e+03  9.907e+02
 0.0450  1.78008e+01  5.832e+01 -4.052e+01 -5.291e+01  1.239e+01  0.000e+00  3.101e+00 -5.601e+01  4.393e+00  8.000e+00  0.000e+00  0.000e+00  1.030e+03  1.644e+03
 0.0500  1.70306e+01  5.348e+01 -3.645e+01 -5.915e+01  2.270e+01  0.000e+00  6.143e+00 -6.530e+01  7.482e+00  1.522e+01  0.000e+00  0.000e+00  9.443e+02  8.394e+02
 0.0550  1.62752e+01  5.206e+01 -3.579e+01 -5.793e+01  2.214e+01  0.000e+00  1.226e+01 -7.018e+01  1.441e+01  7.731e+00  0.000e+00  0.000e+00  9.193e+02  8.720e+02
 0.0600  1.55094e+01  4.611e+01 -3.060e+01 -5.353e+01  2.294e+01  0.000e+00  1.994e+01 -7.348e+01  1.574e+01  7.199e+00  0.000e+00  0.000e+00  8.141e+02  7.034e+02
 0.0650  1.47255e+01  4.797e+01 -3.325e+01 -6.251e+01  2.926e+01  0.000e+00  1.972e+01 -8.223e+01  1.835e+01  1.091e+01  0.000e+00  0.000e+00  8.470e+02  2.957e+02
 0.0700  1.38668e+01  5.521e+01 -4.134e+01 -5.964e+01  1.830e+01  0.000e+00  1.356e+01 -7.320e+01  1.139e+01  6.914e+00  0.000e+00  0.000e+00  9.748e+02  1.364e+03
 0.0750  1.28947e+01  6.735e+01 -5.446e+01 -6.632e+01  1.187e+01  0.000e+00  6.229e+00 -7.255e+01  6.209e+00  5.657e+00  0.000e+00  0.000e+00  1.189e+03  1.183e+03
 0.0800  1.18055e+01  7.054e+01 -5.873e+01 -7.722e+01  1.849e+01  0.000e+00  2.534e+00 -7.976e+01  7.351e+00  1.114e+01  0.000e+00  0.000e+00  1.246e+03  2.120e+03
 0.0850  1.06532e+01  6.780e+01 -5.715e+01 -6.636e+01  9.206e+00  0.000e+00  1.355e+00 -6.771e+01  3.642e+00  5.563e+00  0.000e+00  0.000e+00  1.197e+03  1.638e+03
 0.0900  9.52490e+00  6.319e+01 -5.366e+01 -7.140e+01  1.774e+01  0.000e+00  1.093e+00 -7.249e+01  9.712e+00  8.027e+00  0.000e+00  0.000e+00  1.116e+03  1.877e+03
 0.0950  8.42272e+00  6.049e+01 -5.207e+01 -7.171e+01  1.965e+01  0.000e+00  1.710e+00 -7.342e+01  9.220e+00  1.043e+01  0.000e+00  0.000e+00  1.068e+03  1.436e+03
 0.1000  7.30672e+00  5.576e+01 -4.846e+01 -6.798e+01  1.952e+01  0.000e+00  3.581e+00 -7.156e+01  1.355e+01  5.976e+00  0.000e+00  0.000e+00  9.846e+02  1.665e+03
 0.1050  6.15221e+00  5.795e+01 -5.179e+01 -7.438e+01  2.259e+01  0.000e+00  7.155e+00 -8.153e+01  1.028e+01  1.231e+01  0.000e+00  0.000e+00  1.023e+03  1.266e+03
 0.1100  4.97234e+00  6.470e+01 -5.972e+01 -8.009e+01  2.037e+01  0.000e+00  1.412e+01 -9.421e+01  1.154e+01  8.831e+00  0.000e+00  0.000e+00  1.142e+03  1.051e+03
 0.1150  3.78165e+00  6.083e+01 -5.705e+01 -7.036e+01  1.331e+01  0.000e+00  2.699e+01 -9.735e+01  1.012e+01  3.183e+00  0.000e+00  0.000e+00  1.074e+03  6.389e+02
 0.1200  2.66482e+00  5.360e+01 -5.093e+01 -7.969e+01  2.876e+01  0.000e+00  3.937e+01 -1.191e+02  1.484e+01  1.391e+01  0.000e+00  0.000e+00  9.463e+02 -4.189e+02
 0.1250  1.65173e+00  4.852e+01 -4.687e+01 -6.614e+01  1.927e+01  0.000e+00  4.686e+01 -1.130e+02  1.325e+01  6.020e+00  0.000e+00  0.000e+00  8.567e+02 -3.768e+02
 0.1300  7.88282e-01  4.382e+01 -4.303e+01 -6.712e+01  2.409e+01  0.000e+00  3.947e+01 -1.066e+02  1.855e+01  5.544e+00  0.000e+00  0.000e+00  7.738e+02 -6.675e+02
 0.1350 -1.58910e-01  4.739e+01 -4.754e+01 -7.412e+01  2.658e+01  0.000e+00  2.288e+01 -9.700e+01  1.370e+01  1.288e+01  0.000e+00  0.000e+00  8.367e+02  7.244e+02
 0.1400 -1.25172e+00  5.249e+01 -5.375e+01 -7.455e+01  2.080e+01  0.000e+00  1.177e+01 -8.632e+01  1.581e+01  4.991e+00  0.000e+00  0.000e+00  9.269e+02  1.104e+03
 0.1450 -2.33337e+00  5.218e+01 -5.452e+01 -6.962e+01  1.511e+01  0.000e+00  6.011e+00 -7.563e+01  9.570e+00  5.538e+00  0.000e+00  0.000e+00  9.214e+02  1.388e+03
 0.1500 -3.33515e+00  5.007e+01 -5.340e+01 -7.225e+01  1.885e+01  0.000e+00  3.002e+00 -7.525e+01  6.525e+00  1.232e+01  0.000e+00  0.000e+00  8.840e+02  1.395e+03
 0.1550 -4.31758e+00  4.750e+01 -5.182e+01 -6.498e+01  1.317e+01  0.000e+00  1.633e+00 -6.662e+01  5.635e+00  7.531e+00  0.000e+00  0.000e+00  8.387e+02  1.351e+03
 0.1600 -5.24589e+00  4.802e+01 -5.326e+01 -6.263e+01  9.372e+00  0.000e+00  9.869e-01 -6.362e+01  4.899e+00  4.473e+00  0.000e+00  0.000e+00  8.478e+02  1.658e+03
 0.1650 -6.10712e+00  4.540e+01 -5.151e+01 -6.747e+01  1.596e+01  0.000e+00  8.270e-01 -6.829e+01  7.758e+00  8.202e+00  0.000e+00  0.000e+00  8.016e+02  1.046e+03
 0.1700 -6.95199e+00  3.923e+01 -4.618e+01 -6.082e+01  1.463e+01  0.000e+00  1.064e+00 -6.188e+01  8.631e+00  6.003e+00  0.000e+00  0.000e+00  6.927e+02  1.854e+03
 0.1750 -7.75972e+00  3.620e+01 -4.396e+01 -6.043e+01  1.646e+01  0.000e+00  1.434e+00 -6.186e+01  9.569e+00  6.894e+00  0.000e+00  0.000e+00  6.392e+02  9.499e+02
 0.1800 -8.47700e+00  3.619e+01 -4.467e+01 -6.017e+01  1.550e+01  0.000e+00  1.927e+00 -6.209e+01  8.247e+00  7.251e+00  0.000e+00  0.000e+00  6.390e+02  1.281e+03
 0.1850 -9.15227e+00  3.501e+01 -4.416e+01 -5.527e+01  1.111e+01  0.000e+00  2.271e+00 -5.754e+01  7.006e+00  4.101e+00  0.000e+00  0.000e+00  6.181e+02  1.160e+03
