#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\md\he20.md
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\prm\he20.prm
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\he20.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\md\he20.xyz
# RANDOMSEED 3822454941
# TEMPERATURE 298.150000 K
# BOUNDARY 46.860000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYTIME 0.050000 ps
# GEOMTIME 0.100000 ps
# TOTALTIME 20.000000 ps
# TIMESTEP 0.001000 ps
# EQTIME 4.000000 ps
# EQRATE 0.500000 ps
# VANDERWAALSCUTOFF 2.500000
# ELECTROSTATICCUTOFF 10.000000 A
# KINETIC_CALC_METHOD leapfrog
# GRADIENT_CALC_METHOD analytic
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop       temp      press
 0.0000  1.84354e+01  1.777e+01  6.609e-01  6.609e-01  0.000e+00  0.000e+00  6.609e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.421e+01  0.000e+00
 0.0500  6.89366e+01  6.639e+01  2.546e+00  2.546e+00  0.000e+00  0.000e+00  2.546e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.114e+03  4.696e+00
 0.1000  6.40622e+01  6.265e+01  1.416e+00  1.416e+00  0.000e+00  0.000e+00  1.416e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.051e+03  4.972e+00
 0.1500  5.90505e+01  5.816e+01  8.878e-01  8.878e-01  0.000e+00  0.000e+00  8.878e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  9.756e+02  5.263e+00
 0.2000  5.41906e+01  5.450e+01 -3.108e-01 -3.108e-01  0.000e+00  0.000e+00 -3.108e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  9.142e+02  5.935e+00
 0.2500  4.97158e+01  5.000e+01 -2.834e-01 -2.834e-01  0.000e+00  0.000e+00 -2.834e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  8.387e+02  5.435e+00
 0.3000  4.57039e+01  4.578e+01 -7.653e-02 -7.653e-02  0.000e+00  0.000e+00 -7.653e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  7.679e+02  4.765e+00
 0.3500  4.21488e+01  4.233e+01 -1.794e-01 -1.794e-01  0.000e+00  0.000e+00 -1.794e-01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  7.100e+02  4.590e+00
 0.4000  3.90206e+01  3.910e+01 -7.735e-02 -7.735e-02  0.000e+00  0.000e+00 -7.735e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  6.558e+02  4.228e+00
 0.4500  3.62841e+01  3.632e+01 -3.282e-02 -3.282e-02  0.000e+00  0.000e+00 -3.282e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  6.092e+02  3.916e+00
 0.5000  3.38953e+01  3.391e+01 -1.365e-02 -1.365e-02  0.000e+00  0.000e+00 -1.365e-02  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.688e+02  3.650e+00
 0.5500  3.18128e+01  3.182e+01 -5.383e-03 -5.383e-03  0.000e+00  0.000e+00 -5.383e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.337e+02  3.422e+00
 0.6000  2.99988e+01  3.000e+01 -1.919e-03 -1.919e-03  0.000e+00  0.000e+00 -1.919e-03  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.032e+02  3.225e+00
 0.6500  2.84194e+01  2.842e+01 -4.680e-04 -4.680e-04  0.000e+00  0.000e+00 -4.680e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.767e+02  3.055e+00
 0.7000  2.70446e+01  2.704e+01 -3.498e-05 -3.498e-05  0.000e+00  0.000e+00 -3.498e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.536e+02  2.906e+00
 0.7500  2.58478e+01  2.585e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.336e+02  2.778e+00
 0.8000  2.48060e+01  2.481e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.161e+02  2.666e+00
 0.8500  2.38991e+01  2.390e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.009e+02  2.568e+00
 0.9000  2.31094e+01  2.311e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.876e+02  2.483e+00
 0.9500  2.24217e+01  2.242e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.761e+02  2.409e+00
 1.0000  2.18228e+01  2.182e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.661e+02  2.345e+00
 1.0500  2.13011e+01  2.130e+01  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.573e+02  2.289e+00
