#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1    93.314671645011 -3.926e+01  1.675e+01  3.214e+01  2.996e-02  1.171e-01 
  2    85.419387608827 -7.895e+00  1.634e+01  3.500e+01  1.753e-02  4.512e-02 
  3    80.914663866104 -4.505e+00  2.151e+01  5.294e+01  2.258e-02  6.211e-02 
  4    74.155220740242 -6.759e+00  6.627e+00  1.799e+01  1.334e-02  5.242e-02 
  5    74.124155050195 -3.107e-02  7.346e+00  2.056e+01  1.005e-03  4.036e-03 
  6    71.323816355175 -2.800e+00  8.642e+00  1.978e+01  1.635e-02  3.670e-02 
  7    67.772005911082 -3.552e+00  7.806e+00  2.139e+01  2.317e-02  7.028e-02 
  8    65.824475141023 -1.948e+00  4.628e+00  9.782e+00  2.368e-02  7.415e-02 
  9    65.385597667406 -4.389e-01  2.543e+00  1.008e+01  3.979e-03  9.255e-03 
 10    65.317240580475 -6.836e-02  3.229e+00  9.638e+00  2.198e-03  6.055e-03 
 11    65.050355202621 -2.669e-01  2.135e+00  5.587e+00  3.602e-03  6.844e-03 
 12    64.990579221628 -5.978e-02  2.869e+00  7.725e+00  2.625e-03  4.853e-03 
 13    64.826251896138 -1.643e-01  1.242e+00  2.689e+00  2.568e-03  4.854e-03 
 14    64.822952442300 -3.299e-03  1.478e+00  3.383e+00  4.456e-04* 9.214e-04*
 15    64.766179813291 -5.677e-02  1.193e+00  2.933e+00  1.742e-03  3.270e-03 
 16    64.714172692911 -5.201e-02  2.021e+00  5.116e+00  3.389e-03  6.424e-03 
 17    64.640469165024 -7.370e-02  7.736e-01  1.840e+00  1.702e-03  3.305e-03 
 18    64.639804888710 -6.643e-04  9.091e-01  2.338e+00  1.922e-04* 4.007e-04*
 19    64.609333669976 -3.047e-02  1.007e+00  2.019e+00  1.641e-03  3.148e-03 
 20    64.526060110143 -8.327e-02  1.459e+00  4.745e+00  5.276e-03  1.287e-02 
 21    64.456504228371 -6.956e-02  1.069e+00  2.941e+00  3.249e-03  5.878e-03 
 22    64.433153519169 -2.335e-02  1.968e+00  6.283e+00  3.530e-03  6.786e-03 
 23    64.337262700599 -9.589e-02  1.071e+00  2.539e+00  2.871e-03  7.046e-03 
 24    64.331954825069 -5.308e-03  1.527e+00  4.573e+00  9.544e-04* 2.575e-03 
 25    64.238356509066 -9.360e-02  1.578e+00  4.494e+00  3.648e-03  9.481e-03 
 26    64.042230456227 -1.961e-01  3.186e+00  8.566e+00  1.151e-02  2.889e-02 
 27    63.810922152329 -2.313e-01  1.338e+00  4.187e+00  4.403e-03  1.156e-02 
 28    63.808344093625 -2.578e-03  1.678e+00  5.402e+00  5.667e-04* 1.501e-03*
 29    63.495194777685 -3.131e-01  3.600e+00  9.959e+00  1.293e-02  2.978e-02 
 30    63.181215136563 -3.140e-01  1.777e+00  5.664e+00  4.757e-03  8.886e-03 
 31    63.172721001792 -8.494e-03  2.353e+00  6.798e+00  1.024e-03  1.905e-03*
 32    62.974774432665 -1.979e-01  2.177e+00  5.061e+00  5.012e-03  8.773e-03 
 33    62.647623354173 -3.272e-01  4.748e+00  1.065e+01  1.516e-02  3.353e-02 
 34    62.115353362536 -5.323e-01  2.465e+00  4.260e+00  6.053e-03  1.222e-02 
 35    62.094338471184 -2.101e-02  3.186e+00  7.126e+00  1.581e-03  3.448e-03 
 36    61.839587069405 -2.548e-01  1.923e+00  5.047e+00  4.199e-03  8.816e-03 
 37    61.810291922589 -2.930e-02  2.851e+00  7.807e+00  2.149e-03  5.337e-03 
 38    61.577427551527 -2.329e-01  2.354e+00  7.257e+00  4.340e-03  1.098e-02 
 39    61.375065849431 -2.024e-01  4.609e+00  7.868e+00  8.669e-03  2.035e-02 
 40    60.974170834167 -4.009e-01  1.974e+00  4.039e+00  4.320e-03  7.848e-03 
 41    60.968345613838 -5.825e-03  2.421e+00  4.860e+00  6.404e-04* 1.158e-03*
 42    60.736408539439 -2.319e-01  2.457e+00  6.175e+00  5.013e-03  1.158e-02 
 43    60.314906529732 -4.215e-01  4.332e+00  1.236e+01  1.354e-02  3.413e-02 
 44    59.698901148861 -6.160e-01  3.252e+00  7.453e+00  8.477e-03  1.676e-02 
 45    59.501408069617 -1.975e-01  4.924e+00  1.487e+01  8.223e-03  1.688e-02 
 46    59.012204883663 -4.892e-01  2.522e+00  5.070e+00  5.511e-03  1.343e-02 
 47    58.988395562813 -2.381e-02  3.336e+00  8.634e+00  1.607e-03  4.275e-03 
 48    58.622034182510 -3.664e-01  2.297e+00  6.287e+00  5.706e-03  1.351e-02 
 49    58.545648415812 -7.639e-02  3.600e+00  9.644e+00  4.358e-03  1.159e-02 
 50    58.219689592483 -3.260e-01  2.611e+00  8.863e+00  4.785e-03  1.193e-02 
 51    58.092205323620 -1.275e-01  4.280e+00  1.061e+01  5.226e-03  1.277e-02 
 52    57.733066958121 -3.591e-01  1.886e+00  3.559e+00  4.258e-03  7.118e-03 
 53    57.729037944232 -4.029e-03  2.284e+00  4.462e+00  5.610e-04* 1.070e-03*
