#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1     0.054429814763 -2.302e-01  7.850e-01  1.588e+00  3.132e-03  7.943e-03 
  2     0.028787689280 -2.564e-02  1.108e+00  2.028e+00  2.725e-03  5.295e-03 
  3     0.014678200573 -1.411e-02  7.057e-01  9.089e-01  2.160e-03  4.105e-03 
  4     0.006485385651 -8.193e-03  7.836e-01  1.977e+00  2.054e-03  3.268e-03 
  5     0.001519945789 -4.965e-03  2.239e-01  3.879e-01  6.942e-04* 1.479e-03*
  6     0.001498780675 -2.117e-05  2.396e-01  3.724e-01  4.885e-05* 9.487e-05*
  7     0.000821129491 -6.777e-04  8.927e-02  1.549e-01  2.593e-04* 3.722e-04*
  8     0.000812284567 -8.845e-06  9.789e-02  1.856e-01  3.389e-05* 5.664e-05*
  9     0.000715253481 -9.703e-05  6.310e-02  1.149e-01  8.897e-05* 1.563e-04*
 10     0.000674711716 -4.054e-05  1.088e-01  2.758e-01  1.072e-04* 2.255e-04*
 11     0.000546325647 -1.284e-04  6.143e-02  9.446e-02  1.153e-04* 2.348e-04*
 12     0.000536988833 -9.337e-06  8.635e-02  1.811e-01  4.491e-05* 6.896e-05*
 13     0.000443408961 -9.358e-05  3.831e-02  8.803e-02  1.141e-04* 2.021e-04*
 14     0.000442195841 -1.213e-06  4.817e-02  1.148e-01  1.650e-05* 2.987e-05*
 15     0.000402584590 -3.961e-05  3.139e-02  6.635e-02  1.038e-04* 1.500e-04*
 16     0.000396086173 -6.498e-06  4.744e-02  1.184e-01  6.943e-05* 1.062e-04*
 17     0.000374570328 -2.152e-05  2.267e-02  3.970e-02  5.350e-05* 7.353e-05*
 18     0.000373681892 -8.884e-07* 2.972e-02  5.817e-02  1.420e-05* 2.000e-05*
 19     0.000358523397 -1.516e-05  2.237e-02  4.078e-02  5.865e-05* 1.014e-04*
 20     0.000351062556 -7.461e-06  4.057e-02  6.561e-02  8.481e-05* 1.564e-04*
 21     0.000332381088 -1.868e-05  3.020e-02  6.550e-02  4.916e-05* 8.317e-05*
 22     0.000319826852 -1.255e-05  5.255e-02  1.296e-01  7.935e-05* 1.428e-04*
 23     0.000296830706 -2.300e-05  1.717e-02  3.245e-02  4.520e-05* 7.943e-05*
 24     0.000296760389 -7.032e-08* 1.950e-02  4.138e-02  2.959e-06* 4.480e-06*
