#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
  1   -38.248571895726 -2.541e-05  2.950e-02  5.655e-02  4.197e-05* 9.864e-05*
  2   -38.248582395407 -1.050e-05  1.722e-02  4.229e-02  1.576e-05* 3.382e-05*
  3   -38.248582869803 -4.744e-07* 2.179e-02  4.597e-02  4.258e-06* 8.516e-06*
  4   -38.248637093624 -5.422e-05  6.382e-02  1.246e-01  1.323e-04* 3.999e-04*
  5   -38.248685598157 -4.850e-05  1.941e-02  4.288e-02  3.774e-05* 7.875e-05*
  6   -38.248685658669 -6.051e-08* 2.119e-02  4.765e-02  1.463e-06* 3.007e-06*
  7   -38.248775056773 -8.940e-05  8.754e-02  1.760e-01  2.338e-04* 7.177e-04*
  8   -38.248853019381 -7.796e-05  1.732e-02  4.656e-02  4.209e-05* 9.178e-05*
  9   -38.248853023730 -4.349e-09* 1.754e-02  4.659e-02  1.978e-07* 4.204e-07*
 10   -38.248871835546 -1.881e-05  3.924e-02  7.566e-02  4.869e-05* 1.351e-04*
 11   -38.248895939877 -2.410e-05  2.182e-02  5.458e-02  3.031e-05* 6.390e-05*
 12   -38.248897598075 -1.658e-06  3.321e-02  8.546e-02  1.206e-05* 3.198e-05*
 13   -38.248935841688 -3.824e-05  3.887e-02  7.233e-02  6.827e-05* 2.017e-04*
 14   -38.249124992529 -1.892e-04  1.103e-01  2.505e-01  4.451e-04* 1.355e-03*
 15   -38.249267296547 -1.423e-04  2.650e-02  5.616e-02  7.850e-05* 1.912e-04*
 16   -38.249267358779 -6.223e-08* 2.831e-02  5.807e-02  1.671e-06* 4.170e-06*
 17   -38.249364358801 -9.700e-05  4.354e-02  8.395e-02  2.338e-04* 6.125e-04*
 18   -38.249480259269 -1.159e-04  6.916e-02  1.635e-01  1.809e-04* 5.629e-04*
 19   -38.249559459557 -7.920e-05  2.520e-02  5.109e-02  7.549e-05* 1.931e-04*
 20   -38.249559837633 -3.781e-07* 2.995e-02  5.564e-02  6.158e-06* 1.660e-05*
 21   -38.249723661976 -1.638e-04  1.163e-01  3.180e-01  4.322e-04* 1.299e-03*
 22   -38.249863617135 -1.400e-04  1.821e-02  4.051e-02  6.060e-05* 1.155e-04*
 23   -38.249451956894  4.117e-04  2.044e-01  5.566e-01  1.057e-04* 2.535e-04*
 24   -38.249852576729 -4.006e-04  1.647e-02  4.148e-02  9.481e-05* 1.938e-04*
 25   -38.249852495822  8.091e-08* 1.826e-02  4.116e-02  1.582e-06* 3.226e-06*
 26   -38.249812904834  3.959e-05  6.008e-02  1.689e-01  3.164e-05* 8.035e-05*
 27   -38.249851913716 -3.901e-05  1.679e-02  4.135e-02  2.994e-05* 6.069e-05*
 28   -38.249851913391  3.253e-10* 1.694e-02  4.132e-02  1.422e-07* 2.856e-07*
 29   -38.249887341395 -3.543e-05  5.665e-02  1.095e-01  1.064e-04* 3.032e-04*
 30   -38.249928425330 -4.108e-05  1.760e-02  4.369e-02  3.437e-05* 7.445e-05*
 31   -38.249928494626 -6.930e-08* 1.918e-02  4.766e-02  1.541e-06* 3.405e-06*
 32   -38.249970349993 -4.186e-05  5.508e-02  1.615e-01  1.111e-04* 3.302e-04*
 33   -38.250008123078 -3.777e-05  2.010e-02  4.603e-02  3.366e-05* 8.998e-05*
 34   -38.250008307752 -1.847e-07* 2.306e-02  5.381e-02  2.715e-06* 6.304e-06*
 35   -38.250043334870 -3.503e-05  4.360e-02  1.160e-01  8.357e-05* 2.217e-04*
 36   -38.250076502832 -3.317e-05  2.595e-02  7.498e-02  4.294e-05* 1.083e-04*
 37   -38.250079904158 -3.401e-06  4.223e-02  1.294e-01  2.213e-05* 6.376e-05*
 38   -38.250125965102 -4.606e-05  3.444e-02  1.007e-01  6.896e-05* 1.929e-04*
 39   -38.250165396920 -3.943e-05  8.496e-02  1.933e-01  1.721e-04* 5.288e-04*
 40   -38.250254726513 -8.933e-05  2.992e-02  8.933e-02  6.207e-05* 1.435e-04*
 41   -38.250255098820 -3.723e-07* 3.392e-02  9.436e-02  4.511e-06* 1.093e-05*
 42   -38.250301200466 -4.610e-05  3.724e-02  1.021e-01  8.046e-05* 1.812e-04*
 43   -38.250338361735 -3.716e-05  3.420e-02  1.163e-01  8.489e-05* 2.288e-04*
 44   -38.250573141134 -2.348e-04  1.670e-01  4.505e-01  8.330e-04* 2.515e-03 
 45   -38.250857507193 -2.844e-04  3.974e-02  8.242e-02  8.581e-05* 1.883e-04*
 46   -38.250857694101 -1.869e-07* 4.201e-02  9.688e-02  2.695e-06* 6.041e-06*
 47   -38.250919509620 -6.182e-05  2.045e-02  4.619e-02  7.305e-05* 1.839e-04*
 48   -38.250921707093 -2.197e-06  2.325e-02  7.123e-02  1.692e-05* 4.307e-05*
 49   -38.250936013025 -1.431e-05  3.143e-02  7.791e-02  3.190e-05* 8.178e-05*
 50   -38.250976303603 -4.029e-05  3.504e-02  7.899e-02  7.586e-05* 1.876e-04*
 51   -38.251035719349 -5.942e-05  4.934e-02  1.117e-01  1.581e-04* 4.360e-04*
 52   -38.251138751590 -1.030e-04  7.262e-02  1.638e-01  2.004e-04* 6.144e-04*
 53   -38.251283431645 -1.447e-04  5.206e-02  1.148e-01  1.959e-04* 5.662e-04*
 54   -38.251312103072 -2.867e-05  9.547e-02  2.043e-01  1.692e-04* 5.104e-04*
 55   -38.251440888914 -1.288e-04  4.112e-02  1.185e-01  1.229e-04* 3.635e-04*
